topic_name,"Ethik, Philo",Geschichte,Sozialkunde,entropy,topic_total,topic_proportion
Antike · Darstellung · Glck Leben,1.0,0.0,0.0,0.0,39,0.059
Aristoteles · Eher · Philosophie,1.0,0.0,0.0,0.0,64,0.0968
Contra · Grenzen · Aristoteles Epikur,1.0,0.0,0.0,0.0,21,0.0318
Glaube · Vielfalt · Lebensgestaltung,1.0,0.0,0.0,0.0,15,0.0227
Glck Glcklich · Etc · Glckliches Leben,1.0,0.0,0.0,0.0,69,0.1044
Kein Thema (Ausreißer),1.0,0.0,0.0,0.0,181,0.2738
Konsum · Glck Konsum · Dinge,1.0,0.0,0.0,0.0,32,0.0484
Religionen · Weltanschauungen · Religionen Weltanschauungen,1.0,0.0,0.0,0.0,51,0.0772
Sinn · Beitrag Leitperspektive · Leitperspektive,1.0,0.0,0.0,0.0,18,0.0272
Umgang · Endlichkeit · Ziel,1.0,0.0,0.0,0.0,21,0.0318
Verschiedenen · Grundbegriffe · Quellen Mrchen,0.875,0.0,0.125,0.5436,16,0.0242
Wege · Wege Glck · Wnsche,1.0,0.0,0.0,0.0,50,0.0756
Werteorientierung · Lust · Moralisch,0.9744,0.0256,0.0,0.172,39,0.059
Wohlstand · Armut Wohlstand · Armut,1.0,0.0,0.0,0.0,29,0.0439
Zusammenlebens · Kontext · Glck Moral,0.875,0.0625,0.0625,0.6686,16,0.0242
