subject_clean,Antike · Darstellung · Leben Antike,Aristoteles · Eher · Philosophie,Contra · Grenzen · Aristoteles Epikur,Etc · Definieren · Begriffe,Glaube · Vielfalt · Lebensgestaltung,Kein Thema (Ausreißer),Konsum · Dinge · Glückserlebnisse,Religionen · Weltanschauungen · Religionen Weltanschauungen,Sinn · Leitperspektive · Beitrag Leitperspektive,Umgang · Endlichkeit · Ziel,Verschiedenen · Grundbegriffe · Verschiedenen Quellen,Wege · Wünsche · Wahlbereich,Werteorientierung · Lust · Moralisch,Wohlstand · Armut · Armut Wohlstand,Zusammenlebens · Kontext · Wahrnehmen,entropy,subject_total,subject_proportion
"Ethik, Philo",0.0595,0.0976,0.032,0.1052,0.0229,0.2759,0.0488,0.0777,0.0274,0.032,0.0213,0.0762,0.0579,0.0442,0.0213,3.4648,656,0.9924
Geschichte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,2,0.003
Sozialkunde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.3333,0.9183,3,0.0045
