topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_natur_beschreiben_entwicklung_knnen,0.309,0.3481,0.0991,0.0143,0.2295,1.9591,1534,0.2629
0_natur_knnen_verantwortung_gesellschaft,0.1667,0.4522,0.1524,0.0296,0.199,1.9762,3005,0.515
1_evolution_entwicklung_beschreiben_evolution menschen,0.8932,0.06,0.0036,0.0048,0.0384,0.636,833,0.1428
2_chemie_geographie_klima_erde,0.1944,0.1111,0.0444,0.0,0.65,1.4152,180,0.0308
3_wrde_rolle_spielen_menschenwrde,0.011,0.9231,0.033,0.0,0.033,0.5027,91,0.0156
4_gottes_gott_menschen gott_bibel,0.32,0.36,0.0,0.0,0.32,1.5827,50,0.0086
5_musik_singen_lernbereich_zeit,0.3182,0.3864,0.0,0.0,0.2955,1.5754,44,0.0075
6_tod_sterben_trauer_handeln,0.1163,0.6977,0.0,0.0698,0.1163,1.3523,43,0.0074
7_anspruch_achtung_gegebene_menschen eigene,0.0,1.0,0.0,0.0,0.0,0.0,21,0.0036
8_respekt gegenber_kooperieren_angemessener weise_sollen fhigkeit,0.1579,0.2105,0.1579,0.1053,0.3684,2.1868,19,0.0033
9_jesus_jesu_gebrdensprache_hilfsmittel,0.3333,0.3333,0.0,0.0,0.3333,1.585,15,0.0026
TOTAL,0.3081,0.3671,0.1075,0.0206,0.1967,1.9766,5835,1.0
