subject,-1_natur_beschreiben_entwicklung_knnen,0_natur_knnen_verantwortung_gesellschaft,1_evolution_entwicklung_beschreiben_evolution menschen,2_chemie_geographie_klima_erde,3_wrde_rolle_spielen_menschenwrde,4_gottes_gott_menschen gott_bibel,5_musik_singen_lernbereich_zeit,6_tod_sterben_trauer_handeln,7_anspruch_achtung_gegebene_menschen eigene,8_respekt gegenber_kooperieren_angemessener weise_sollen fhigkeit,9_jesus_jesu_gebrdensprache_hilfsmittel,entropy,subject_total,subject_proportion
Bio,0.2636,0.2786,0.4138,0.0195,0.0006,0.0089,0.0078,0.0028,0.0,0.0017,0.0028,1.8419,1798,0.3081
"Ethik, Philo",0.2493,0.6345,0.0233,0.0093,0.0392,0.0084,0.0079,0.014,0.0098,0.0019,0.0023,1.5911,2142,0.3671
Geschichte,0.2424,0.7305,0.0048,0.0128,0.0048,0.0,0.0,0.0,0.0,0.0048,0.0,1.0175,627,0.1075
"Psychologie, Gesundheit",0.1833,0.7417,0.0333,0.0,0.0,0.0,0.0,0.025,0.0,0.0167,0.0,1.1635,120,0.0206
Sozialkunde,0.3066,0.5209,0.0279,0.1019,0.0026,0.0139,0.0113,0.0044,0.0,0.0061,0.0044,1.7875,1148,0.1967
TOTAL,0.2629,0.515,0.1428,0.0308,0.0156,0.0086,0.0075,0.0074,0.0036,0.0033,0.0026,1.8916,5835,1.0
