term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
weltdeutung,15,0.0036,0.0008,0.0006,0.0026,0.0027,0.0018,0.0001,0.0007,0.0011,0.0002,0.0172,0.0197,0.0124,0.001,0.0013
kultur,14,0.0037,0.0257,0.0006,0.0028,0.0028,0.0019,0.0001,0.0007,0.0211,0.0002,0.0104,0.0015,0.0002,0.0267,0.0013
möglichkeit,14,0.0037,0.0008,0.0061,0.0026,0.003,0.0217,0.0041,0.0046,0.0011,0.0002,0.0008,0.0014,0.0286,0.001,0.0013
unterschiedlich,14,0.0038,0.0008,0.0243,0.0025,0.0195,0.0019,0.0001,0.0007,0.001,0.0002,0.0334,0.0106,0.0002,0.001,0.0013
versus,14,0.0037,0.0008,0.0006,0.0026,0.0026,0.0021,0.0019,0.0007,0.001,0.1314,0.0009,0.0014,0.0002,0.001,0.0013
geschichte,13,0.0037,0.0008,0.0008,0.0037,0.0946,0.0019,0.0006,0.0007,0.0066,0.0002,0.0009,0.0014,0.0004,0.0009,0.0472
holocaust,13,0.0038,0.0007,0.0009,0.0026,0.0033,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0014,0.0384,0.001,0.0013
lebensraum,13,0.0037,0.0098,0.0006,0.0026,0.0027,0.0019,0.0001,0.0007,0.0011,0.0003,0.0009,0.0197,0.0112,0.001,0.0013
stereotyp,13,0.0036,0.0008,0.0006,0.0028,0.0026,0.0019,0.0015,0.0391,0.0144,0.0201,0.0009,0.0015,0.0003,0.001,0.0013
deutsch,12,0.0037,0.0008,0.0013,0.0026,0.0365,0.0021,0.0001,0.0007,0.001,0.0002,0.0434,0.0197,0.0002,0.001,0.0013
extremismus,12,0.0036,0.0008,0.0025,0.0782,0.0027,0.0018,0.0192,0.0007,0.0046,0.0002,0.0009,0.0014,0.0002,0.001,0.0013
führen,12,0.0037,0.0008,0.0282,0.0026,0.0026,0.0018,0.0001,0.0007,0.0019,0.0002,0.0008,0.0106,0.0002,0.001,0.0325
grundgesetz,12,0.0037,0.0008,0.0007,0.004,0.0189,0.0019,0.0021,0.0007,0.001,0.0284,0.0008,0.0014,0.0008,0.001,0.0013
hinblick,12,0.0038,0.0008,0.0006,0.0029,0.0027,0.0019,0.0001,0.0524,0.001,0.0002,0.0009,0.0015,0.0002,0.0009,0.0012
perspektive,12,0.0036,0.0007,0.0006,0.0026,0.0027,0.0029,0.0007,0.0007,0.0078,0.0672,0.0008,0.0014,0.0002,0.001,0.0254
religiös,12,0.0037,0.0008,0.0006,0.0041,0.0027,0.0019,0.0001,0.0007,0.0011,0.0002,0.0279,0.0014,0.0002,0.0196,0.033
terror,12,0.0036,0.0008,0.0266,0.0026,0.0027,0.0019,0.0001,0.0007,0.0011,0.0221,0.0009,0.0016,0.0043,0.001,0.0013
wert,12,0.0037,0.0171,0.0023,0.0031,0.0027,0.002,0.0205,0.0007,0.001,0.0002,0.0008,0.0014,0.0002,0.001,0.0013
wirtschaftlich,12,0.0036,0.0007,0.0007,0.0026,0.0027,0.0019,0.0001,0.0223,0.001,0.0002,0.0172,0.0015,0.0002,0.001,0.0333
zwischenkriegszeit,12,0.004,0.0008,0.0006,0.0027,0.0026,0.0019,0.0001,0.0007,0.001,0.0002,0.0009,0.0015,0.0148,0.001,0.0013
europäisch,11,0.0037,0.0008,0.0171,0.0026,0.0026,0.0019,0.0001,0.0007,0.0209,0.0002,0.0009,0.0015,0.0048,0.001,0.0014
jahrhundert,11,0.0038,0.012,0.0013,0.0026,0.0028,0.0019,0.0004,0.0007,0.0102,0.0002,0.0292,0.0014,0.0021,0.001,0.0013
afrika,10,0.0037,0.0008,0.0006,0.0026,0.0026,0.002,0.0001,0.0007,0.0675,0.0002,0.0009,0.0015,0.0002,0.001,0.0015
