term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
methode,12,0.0058,0.0003,0.0004,0.0002,0.0195,0.0002,0.0004
methodenkompetenz,12,0.0253,0.0002,0.0004,0.0002,0.0012,0.0021,0.0004
berücksichtigen,11,0.0004,0.0003,0.0004,0.0021,0.0003,0.021,0.0004
bezug,11,0.0004,0.0027,0.0004,0.0002,0.0004,0.0178,0.0004
demokratisch,11,0.0004,0.0133,0.0004,0.0002,0.0002,0.0002,0.0004
differenz,11,0.0004,0.0012,0.0004,0.0002,0.0002,0.0215,0.0004
führen,11,0.0134,0.0029,0.0004,0.0002,0.0002,0.0002,0.0004
gestaltung,11,0.0004,0.0002,0.0004,0.0002,0.0003,0.0256,0.0004
team,11,0.0004,0.0002,0.0191,0.0002,0.0002,0.0002,0.0004
vernetzt,11,0.0004,0.0002,0.0004,0.0165,0.0002,0.0002,0.0004
berücksichtigung,10,0.0004,0.0002,0.0004,0.0002,0.0002,0.0233,0.0004
gezielt,10,0.0041,0.0002,0.0004,0.0002,0.0141,0.0003,0.0004
handlungsalternative,10,0.0004,0.0002,0.0004,0.0002,0.0003,0.0233,0.0004
krieg,10,0.0004,0.0104,0.0004,0.0002,0.0007,0.0002,0.0004
politik,10,0.0004,0.0029,0.0004,0.0002,0.0002,0.0002,0.0313
prägung,10,0.0004,0.0002,0.0004,0.0156,0.0002,0.0002,0.0004
tolerieren,10,0.0004,0.0002,0.0004,0.0169,0.0002,0.0002,0.0004
überprüfen,10,0.0235,0.0002,0.0004,0.0002,0.0006,0.0002,0.0004
geschlechtsspezifisch,9,0.0004,0.0002,0.0004,0.0002,0.0002,0.021,0.0004
gruppenarbeit,9,0.0004,0.0002,0.0004,0.0002,0.0002,0.021,0.0004
idee,9,0.0004,0.0025,0.0147,0.0002,0.0002,0.0002,0.0004
multiperspektivisch,9,0.0004,0.0002,0.0157,0.0002,0.0002,0.0002,0.0004
verknüpfen,9,0.0004,0.0022,0.0004,0.0002,0.0002,0.0002,0.0174
arbeiten,8,0.0004,0.0002,0.014,0.0002,0.0002,0.0002,0.0004
