topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,7,13,3,4,21,48
2,182,10,2,5,5,204
3,117,5,0,0,0,122
4,90,82,31,16,98,317
5,27,31,13,6,58,135
6,9,11,10,0,14,44
7,13,32,4,213,23,285
