,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,verantwortung,0.0186,beschreiben,0.0217,wirtschaftlichen,0.0312,kompetenzbereiche,0.0395,fhigkeiten,0.1288,motive,0.2455,medial,0.1574,handeln menschen,0.1311,dimension,0.2757,handlung,0.191,glck,0.3312
1,welt,0.0162,ethik,0.0214,wirtschaftliches,0.0278,fachlichen,0.0378,personale,0.1262,motivation,0.105,interpretieren,0.1051,bercksichtigung,0.1132,normative,0.1292,jugendstrafrechts,0.156,wege,0.0658
2,analysieren,0.0152,verantwortung,0.0206,konomische,0.0253,inhaltsfelder,0.0326,sollen,0.094,moralisch,0.0598,welt,0.102,historischen,0.0946,argumentationskompetenz diskurskompetenz,0.1109,besonderheiten,0.1494,moral,0.0654
3,gesellschaft,0.0151,reflektieren,0.0198,wirtschaftliches handeln,0.0252,entwicklung,0.0324,schlerin,0.0936,definieren,0.0592,analysieren interpretieren,0.1015,historische,0.0939,diskurskompetenz,0.109,folgen,0.1463,selbstverwirklichung,0.0521
4,menschen,0.0147,normen,0.019,wirtschaft,0.0221,biologie,0.0305,vertrauen,0.0932,beim,0.0565,konflikten,0.0891,beurteilen historische,0.0895,urteils argumentationskompetenz,0.1073,rechtsfolgen,0.1443,situationen,0.0521
5,reflektieren,0.0138,werte,0.019,wirtschaftlichen handelns,0.0209,standards,0.0283,wirksamkeit,0.0929,handlung,0.0528,medien,0.0784,menschen,0.0855,argumentationskompetenz,0.1073,charakterisieren,0.1358,gute,0.0487
6,bewerten,0.0135,analysieren,0.0186,konomischen,0.0206,bewltigung,0.0279,lernen,0.0916,menschlichen handelns,0.0449,ethischmoralische grundlagen,0.0724,beantwortung,0.072,selbstbestimmte,0.1066,fallbeispielen,0.1211,ideen,0.0446
7,freiheit,0.0134,fragen,0.0167,entwicklung,0.0198,menschen,0.0278,einstellungen haltungen,0.0788,motive menschlichen,0.0427,ethischmoralische,0.0706,multiperspektivitt,0.0715,verantwortlichen handeln,0.0992,resozialisierung,0.1074,guten,0.0431
8,denken,0.0131,menschen,0.0167,btv,0.0176,kapitel,0.0273,vier,0.0749,motiven,0.0427,beurteilen entscheiden,0.0664,werturteil,0.0682,urteils,0.0992,voraussetzungen,0.0944,analysieren,0.0427
9,leben,0.0127,erkennen,0.0164,bne,0.0175,natur,0.0206,eigenen handelns,0.0736,inhaltsbezogene,0.0415,grundlagen handelns,0.0664,bernehmen,0.0658,persnlichkeit,0.0956,schuld,0.0919,leben,0.0419
10,mensch,0.0124,entscheidungen,0.0154,unternehmen,0.0171,sinne,0.0205,einstellungen,0.0692,mensch ethik,0.0413,interpretieren beurteilen,0.0627,fragestellung,0.0639,selbstbestimmten,0.0937,lsung,0.0881,verantwortungsrelationen,0.0386
11,menschlichen,0.0121,bewerten,0.0149,wirtschaftliche,0.0165,prozesse,0.0203,gegenber,0.0691,bzgl,0.0408,friedliches zusammenleben,0.0623,aushandlungsprozesse,0.0628,sollen,0.0892,staatlichen,0.083,verantwortungsrelationen ethisch,0.0386
12,erkennen,0.0114,lernenden,0.0137,erlutern,0.0163,gegenstnde,0.0197,haltungen,0.0691,weshalb,0.0406,gerechtigkeit handeln,0.062,sach,0.0579,verantwortlichen,0.0861,strategien,0.083,tag,0.0372
13,beschreiben,0.0114,leben,0.0134,kriterien,0.0154,wissen,0.0197,potenziale,0.0629,inhaltsbezogene kompetenzen,0.0399,analysieren,0.0609,kategorien,0.0575,orientierungskompetenz,0.0835,methodenkompetenz,0.082,folgen,0.0368
14,grenzen,0.011,freiheit,0.0134,wertorientiertes,0.0154,evolution,0.0196,dimensionen,0.0598,menschlichen,0.0397,friedliches,0.0609,kontext,0.057,vorstellungen guten,0.079,sozialkompetenz,0.0814,selbstverwirklichung glck,0.0368
15,akteure,0.011,werte normen,0.0133,analysieren,0.0152,umwelt,0.0193,organisiert,0.0571,methodischdidaktische hinweise,0.0394,entscheiden,0.0609,demokratischer,0.057,guten lebens,0.0772,vergeltung,0.0805,relevanten situationen,0.0368
16,aufgaben,0.0107,folgen,0.0129,wertorientiertes handeln,0.0152,nachhaltige,0.0191,entscheidungen,0.0556,methodischdidaktische,0.0393,verantwortung,0.0598,verantwortung handeln,0.0526,orientierungs,0.0739,tat,0.0788,erfolg,0.0357
17,werte,0.0107,gesellschaft,0.0125,marktwirtschaft,0.0146,bewerten,0.0188,arbeitsprozesse,0.0524,kompetenzen methodischdidaktische,0.0393,zusammenleben,0.0598,praktizieren,0.0486,bereiche,0.0736,funktionen,0.0781,einflussfaktoren mehreren,0.0348
18,politik,0.0102,denken,0.0122,inhaltsfeld,0.0145,verdeutlichen,0.0187,einzuschtzen,0.052,folgen handlung,0.0391,gerechtigkeit,0.0585,beispiels,0.0472,fhigkeit,0.0695,klassifizieren,0.0747,gesellschaft ideen,0.0345
19,darstellen,0.0101,politische,0.0121,digitalen,0.0143,zentrale,0.0183,aspekten,0.0513,analysieren motive,0.0378,identitt individualitt,0.0565,diskursive,0.047,gutes,0.0679,lernbereich,0.0701,mehreren ebenen,0.0342
