subject,-1_verantwortung_welt_analysieren_gesellschaft,0_beschreiben_ethik_verantwortung_reflektieren,1_wirtschaftlichen_wirtschaftliches_konomische_wirtschaftliches handeln,2_kompetenzbereiche_fachlichen_inhaltsfelder_entwicklung,3_fhigkeiten_personale_sollen_schlerin,4_motive_motivation_moralisch_definieren,5_medial_interpretieren_welt_analysieren interpretieren,6_handeln menschen_bercksichtigung_historischen_historische,7_dimension_normative_argumentationskompetenz diskurskompetenz_diskurskompetenz,8_handlung_jugendstrafrechts_besonderheiten_folgen,9_glck_wege_moral_selbstverwirklichung,entropy,subject_total,subject_proportion
Bio,0.1944,0.3232,0.1358,0.3044,0.0422,0.0,0.0,0.0,0.0,0.0,0.0,2.0921,427,0.1109
"Ethik, Philo",0.2805,0.5409,0.0372,0.0341,0.0104,0.0402,0.0299,0.0,0.0152,0.0,0.0116,1.9097,1640,0.4261
Geschichte,0.292,0.4535,0.0951,0.0642,0.0332,0.0,0.0,0.0597,0.0,0.0022,0.0,2.0384,452,0.1174
Psychologie,0.1944,0.5,0.0556,0.1389,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,1.9388,36,0.0094
Sozialkunde,0.245,0.2643,0.4019,0.0294,0.0224,0.0,0.0077,0.0124,0.0,0.017,0.0,2.0378,1294,0.3362
TOTAL,0.2595,0.4131,0.1777,0.067,0.0216,0.0171,0.0153,0.0112,0.0065,0.006,0.0049,2.2502,3849,1.0
