subject,-1_glck_unterschiedliche_menschen_leben,0_bedrfnis_wnsche_eigene_beschreiben,1_themenfelder_wandel_beschreiben_interessen,2_familie_bedrfnisse wnsche_wnsche_lebensformen,3_lernenden_fhigkeiten_gefhle bedrfnisse_reflektieren,4_lernbereich_sport_freizeit_umwelt,5_beispiel_religionen_religionen weltanschauungen_weltanschauungen,6_sollen_position_bilden_darauf,7_bewusstsein_ebenso_behinderung_wichtige,8_bietet_bildung_bedeutung_deren,9_risiken_erfahrungen_digitalen_wahrnehmen,entropy,subject_total,subject_proportion
Bio,0.1667,0.3046,0.1322,0.0862,0.1379,0.0805,0.0345,0.0115,0.0115,0.023,0.0115,2.8455,174,0.1225
"Ethik, Philo",0.0902,0.607,0.0336,0.1077,0.0431,0.0188,0.0323,0.0269,0.0269,0.0054,0.0081,2.1019,743,0.5232
Geschichte,0.0286,0.2571,0.2857,0.0,0.3429,0.0,0.0,0.0,0.0,0.0571,0.0286,2.0788,70,0.0493
"Psychologie, Gesundheit",0.3529,0.2353,0.0588,0.1176,0.2353,0.0,0.0,0.0,0.0,0.0,0.0,2.1163,34,0.0239
Sozialkunde,0.0852,0.2281,0.4511,0.0852,0.0602,0.0401,0.015,0.005,0.005,0.01,0.015,2.3652,399,0.281
TOTAL,0.1014,0.4373,0.1761,0.0937,0.0789,0.031,0.0254,0.0169,0.0169,0.0113,0.0113,2.5414,1420,1.0
