topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_glck_unterschiedliche_menschen_leben,0.2014,0.4653,0.0139,0.0833,0.2361,1.8553,144,0.1014
0_bedrfnis_wnsche_eigene_beschreiben,0.0853,0.7262,0.029,0.0129,0.1465,1.2731,621,0.4373
1_themenfelder_wandel_beschreiben_interessen,0.092,0.1,0.08,0.008,0.72,1.3373,250,0.1761
2_familie_bedrfnisse wnsche_wnsche_lebensformen,0.1128,0.6015,0.0,0.0301,0.2556,1.4513,133,0.0937
3_lernenden_fhigkeiten_gefhle bedrfnisse_reflektieren,0.2143,0.2857,0.2143,0.0714,0.2143,2.217,112,0.0789
4_lernbereich_sport_freizeit_umwelt,0.3182,0.3182,0.0,0.0,0.3636,1.582,44,0.031
5_beispiel_religionen_religionen weltanschauungen_weltanschauungen,0.1667,0.6667,0.0,0.0,0.1667,1.2516,36,0.0254
6_sollen_position_bilden_darauf,0.0833,0.8333,0.0,0.0,0.0833,0.8167,24,0.0169
7_bewusstsein_ebenso_behinderung_wichtige,0.0833,0.8333,0.0,0.0,0.0833,0.8167,24,0.0169
8_bietet_bildung_bedeutung_deren,0.25,0.25,0.25,0.0,0.25,2.0,16,0.0113
9_risiken_erfahrungen_digitalen_wahrnehmen,0.125,0.375,0.125,0.0,0.375,1.8113,16,0.0113
TOTAL,0.1225,0.5232,0.0493,0.0239,0.281,1.7177,1420,1.0
