topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,3,46,2,3,37,91
2,3,54,3,0,8,68
3,9,39,9,3,18,78
4,0,3,12,0,39,54
5,2,27,2,0,5,36
6,0,16,0,0,0,16
7,11,89,3,4,26,133
8,8,14,15,1,13,51
9,2,58,1,0,4,65
10,2,34,1,3,8,48
