term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
gemeinschaft,44,0.0002,0.0001,0.0049,0.0026,0.0001,0.0001,0.0,0.0001,0.0127,0.0012
inhalt,44,0.0002,0.0001,0.0082,0.0314,0.0001,0.0001,0.0053,0.0001,0.0,0.0001
ethik,42,0.0002,0.0001,0.0001,0.0002,0.0015,0.0001,0.0,0.0045,0.0,0.0134
verantwortlich,42,0.0002,0.0001,0.0001,0.0002,0.0001,0.0157,0.0011,0.0001,0.0,0.0036
grundbedürfnisse,42,0.0002,0.0001,0.0001,0.0312,0.0001,0.0001,0.0,0.0001,0.0039,0.0058
gut,42,0.0147,0.0164,0.0026,0.0002,0.0001,0.0001,0.0012,0.0001,0.0,0.0001
analysieren,41,0.0002,0.0001,0.0112,0.0002,0.0001,0.0007,0.0027,0.0001,0.0058,0.0002
beispiel,41,0.0105,0.0001,0.0001,0.0002,0.0001,0.0015,0.0027,0.0028,0.0,0.008
setzen,41,0.0002,0.0001,0.0001,0.0002,0.0035,0.0023,0.0,0.0123,0.0066,0.0
identität,41,0.0002,0.0029,0.0001,0.0038,0.0145,0.0026,0.0,0.0001,0.0,0.006
freundschaft,40,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0008,0.0001,0.0,0.0149
grenze,39,0.0055,0.0001,0.0008,0.0002,0.0019,0.0151,0.0014,0.0001,0.0,0.0
politisch,38,0.0002,0.0211,0.0001,0.0002,0.0001,0.0001,0.0024,0.0001,0.0001,0.0
prinzip,38,0.0208,0.0001,0.0012,0.0002,0.0001,0.0001,0.0088,0.0001,0.0,0.0
beurteilen,38,0.0002,0.0001,0.0023,0.0002,0.0001,0.0001,0.0076,0.01,0.0,0.0007
voraussetzung,38,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0018,0.0001,0.0121,0.0017
nachhaltig,37,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.014,0.0001,0.0,0.0
sozialkompetenz,37,0.0002,0.0001,0.0001,0.0041,0.0001,0.0023,0.0001,0.0001,0.0127,0.0
ökonomisch,37,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0148,0.0001,0.0,0.0
kompetenzbereich,37,0.0002,0.0001,0.0001,0.0187,0.0001,0.0069,0.0037,0.0026,0.0,0.0
emotion,36,0.0055,0.0001,0.0001,0.0002,0.0001,0.0001,0.0012,0.003,0.0106,0.0
potenzial,35,0.0002,0.0001,0.0001,0.0002,0.0001,0.018,0.0,0.0001,0.0,0.0
grundlage,35,0.0002,0.021,0.0001,0.0002,0.0001,0.0001,0.0,0.0023,0.0,0.0
grundlegend,35,0.0161,0.0014,0.0001,0.0002,0.0001,0.0001,0.0038,0.0057,0.0,0.0021
ziel,35,0.0002,0.0042,0.0001,0.0049,0.0001,0.0001,0.0098,0.0001,0.0,0.0
befriedigung,34,0.0002,0.0001,0.0001,0.0002,0.0208,0.0001,0.0046,0.0001,0.0,0.0001
chance,34,0.0052,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0006,0.0118
struktur,34,0.0002,0.013,0.0001,0.0002,0.0001,0.0001,0.0028,0.0001,0.0024,0.0007
wirklichkeit,33,0.0002,0.0001,0.0001,0.0125,0.0001,0.0138,0.0001,0.0001,0.0,0.0
handlung,33,0.0002,0.0001,0.0147,0.0002,0.0001,0.0001,0.0031,0.0001,0.0,0.0001
