topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,5,0.2503,175,26.0396
2,2,0.2214,152,77.038
3,1,0.1595,104,36.648
4,7,0.1119,72,49.2767
5,3,0.1106,69,24.0165
6,4,0.0738,42,50.0301
7,6,0.0725,47,29.1337
