subject,-1_systematik_beispiel_modernen_lernenden,0_psychologie_sozialen_erkenntnisse_perspektive,1_positionen_urteile_rahmen_position,2_fragen_inhalte_argumentierens_bedeutung,3_welt_wissenschaft_grenzen_mensch,4_politischen_fhigkeit_interessen_bereitschaft,5_wirtschaft_soziale_gesellschaftlichen_beurteilen,6_entscheidungen_kologie_formulieren_kriterien,entropy,subject_total,subject_proportion
Bio,0.08,0.0,0.04,0.0,0.88,0.0,0.0,0.0,0.6396,25,0.0883
"Ethik, Philo",0.1111,0.0185,0.3611,0.2222,0.2037,0.0463,0.0278,0.0093,2.3506,108,0.3816
Geschichte,0.0345,0.0,0.1379,0.0345,0.2069,0.5862,0.0,0.0,1.6512,29,0.1025
Psychologie,0.0,0.7857,0.0714,0.0,0.0,0.1429,0.0,0.0,0.9464,14,0.0495
Sozialkunde,0.0748,0.0654,0.0935,0.0093,0.0,0.3832,0.1776,0.1963,2.3538,107,0.3781
TOTAL,0.0813,0.0707,0.1943,0.0919,0.1767,0.2297,0.0777,0.0777,2.8424,283,1.0
