subject_clean,Bewertung · Aes · Historische,Ethik · Normen Ethik · Moralisches Werte,Ethik · Relevanz · Werte Normen,Ethisch · Situationen · Gerechtigkeit,Frage · Mensch · Ethisch,Guten · Sinn · Freiheit,Historischen · Gruppen · Akteure Gruppen,Historischen · Historischer · Geschichte,Informationen · Menschenwürde · Leitidee,Kein Thema (Ausreißer),Kriterien · Bne Kriterien · Kriterien Nachhaltigkeitsfördernde,Kriterien · Bne Kriterien · Nachhaltigkeitsfördernde Hemmende,Methoden Anwenden · Methoden · Anwenden,Methoden · Politischer · Akteure,Motive · Ethik · Situationen,Naturwissenschaftliche · Politik · Kenntnisse,Politischen · Wirtschaftliches · Wirtschaft,Rechtlichen · Politischen · Wirtschaft,Sprache Denken · Psy · Freiheit,Sprache · Wahlbereich · Wirklichkeit,Theoriegeleitet · Fremden · Grunderfahrungen,Ungleichheit · Sozialer Ungleichheit · Sozialer,Unternehmerisches · Wirtschaftlichen · Medien Eth,Vergangenheit · Menschliches · Gegenwart,Vernunft · Freiheit · Ethisch,Wertorientiertes · Raumwirksamkeit · Geo Raumwirksamkeit,Wirtschaftlichen Minderheitenschutz · Kinderrechte Geo · Kinderrechte,Wirtschaftliches · Nutzen · Wirtschaftliches Bedarf,Wirtschaftliches · Wirtschaftliches Bedarf · Technologien,Wirtschaftspolitik · Prozesse · Politischen,Ökonomische · Ökonomischen · Wirtschaftlichen,entropy,subject_total,subject_proportion
Bio,0.0609,0.0,0.007,0.0,0.0,0.0117,0.0211,0.089,0.0398,0.1756,0.0047,0.007,0.0,0.0,0.0398,0.0843,0.1827,0.1452,0.0,0.0,0.0117,0.0047,0.0632,0.0,0.0117,0.0,0.0023,0.0187,0.0047,0.0047,0.0094,3.5518,427,0.1109
"Ethik, Philo",0.0006,0.0128,0.1787,0.0476,0.0573,0.0665,0.0,0.0098,0.0018,0.2079,0.0335,0.0293,0.0,0.0,0.1409,0.0006,0.0299,0.0024,0.0091,0.053,0.0482,0.0,0.0293,0.0018,0.0335,0.0024,0.0018,0.0012,0.0,0.0,0.0,3.557,1640,0.4261
Geschichte,0.1018,0.0,0.073,0.0332,0.0265,0.0376,0.0487,0.1969,0.0044,0.208,0.0022,0.0088,0.0,0.0,0.0752,0.0044,0.0332,0.0,0.0,0.0133,0.0265,0.0,0.0664,0.0,0.0088,0.0,0.0066,0.0199,0.0044,0.0,0.0,3.5661,452,0.1174
Psychologie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.1111,0.3056,0.0833,0.0,0.0,0.0,0.0278,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,2.3414,36,0.0094
Sozialkunde,0.0185,0.0008,0.0023,0.0,0.0023,0.0015,0.0,0.007,0.0008,0.2264,0.0031,0.0054,0.0116,0.0147,0.0688,0.0572,0.2272,0.0943,0.0,0.0015,0.007,0.0124,0.0804,0.0139,0.0162,0.0773,0.0062,0.0108,0.0093,0.0139,0.0093,3.4816,1294,0.3362
