topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
Bewertung · Aes · Historische,0.268,0.0103,0.4742,0.0,0.2474,1.5862,97,0.0252
Ethik · Normen Ethik · Moralisches Werte,0.0,0.9545,0.0,0.0,0.0455,0.2668,22,0.0057
Ethik · Relevanz · Werte Normen,0.009,0.8825,0.0994,0.0,0.009,0.6129,332,0.0863
Ethisch · Situationen · Gerechtigkeit,0.0,0.8387,0.1613,0.0,0.0,0.6374,93,0.0242
Frage · Mensch · Ethisch,0.0,0.8624,0.1101,0.0,0.0275,0.6773,109,0.0283
Guten · Sinn · Freiheit,0.0376,0.8195,0.1278,0.0,0.015,0.8836,133,0.0346
Historischen · Gruppen · Akteure Gruppen,0.2903,0.0,0.7097,0.0,0.0,0.8691,31,0.0081
Historischen · Historischer · Geschichte,0.25,0.1053,0.5855,0.0,0.0592,1.5355,152,0.0395
Informationen · Menschenwürde · Leitidee,0.7391,0.1304,0.087,0.0,0.0435,1.2087,23,0.006
Kein Thema (Ausreißer),0.092,0.4184,0.1153,0.0147,0.3595,1.8223,815,0.2117
Kriterien · Bne Kriterien · Kriterien Nachhaltigkeitsfördernde,0.0323,0.8871,0.0161,0.0,0.0645,0.6643,62,0.0161
Kriterien · Bne Kriterien · Nachhaltigkeitsfördernde Hemmende,0.0484,0.7742,0.0645,0.0,0.1129,1.1077,62,0.0161
Methoden Anwenden · Methoden · Anwenden,0.0,0.0,0.0,0.0,1.0,0.0,15,0.0039
Methoden · Politischer · Akteure,0.0,0.0,0.0,0.0,1.0,0.0,19,0.0049
Motive · Ethik · Situationen,0.0458,0.6226,0.0916,0.0,0.2399,1.4394,371,0.0964
Naturwissenschaftliche · Politik · Kenntnisse,0.3077,0.0085,0.0171,0.0342,0.6325,1.2668,117,0.0304
Politischen · Wirtschaftliches · Wirtschaft,0.1745,0.1096,0.0336,0.0246,0.6577,1.4826,447,0.1161
Rechtlichen · Politischen · Wirtschaft,0.3246,0.0209,0.0,0.0157,0.6387,1.1509,191,0.0496
Sprache Denken · Psy · Freiheit,0.0,1.0,0.0,0.0,0.0,0.0,15,0.0039
Sprache · Wahlbereich · Wirklichkeit,0.0,0.9158,0.0632,0.0,0.0211,0.4852,95,0.0247
Theoriegeleitet · Fremden · Grunderfahrungen,0.0476,0.7524,0.1143,0.0,0.0857,1.1794,105,0.0273
Ungleichheit · Sozialer Ungleichheit · Sozialer,0.1053,0.0,0.0,0.0526,0.8421,0.7742,19,0.0049
Unternehmerisches · Wirtschaftlichen · Medien Eth,0.1286,0.2286,0.1429,0.0048,0.4952,1.807,210,0.0546
Vergangenheit · Menschliches · Gegenwart,0.0,0.1429,0.0,0.0,0.8571,0.5917,21,0.0055
Vernunft · Freiheit · Ethisch,0.0588,0.6471,0.0471,0.0,0.2471,1.3526,85,0.0221
Wertorientiertes · Raumwirksamkeit · Geo Raumwirksamkeit,0.0,0.0385,0.0,0.0,0.9615,0.2352,104,0.027
Wirtschaftlichen Minderheitenschutz · Kinderrechte Geo · Kinderrechte,0.0667,0.2,0.2,0.0,0.5333,1.6729,15,0.0039
Wirtschaftliches · Nutzen · Wirtschaftliches Bedarf,0.2424,0.0606,0.2727,0.0,0.4242,1.7767,33,0.0086
Wirtschaftliches · Wirtschaftliches Bedarf · Technologien,0.125,0.0,0.125,0.0,0.75,1.0613,16,0.0042
Wirtschaftspolitik · Prozesse · Politischen,0.0833,0.0,0.0,0.1667,0.75,1.0409,24,0.0062
Ökonomische · Ökonomischen · Wirtschaftlichen,0.25,0.0,0.0,0.0,0.75,0.8113,16,0.0042
