term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
wirtschaftlich,45,0.0086,0.0007,0.0,0.0047,0.0,0.0002,0.0001
ethikunterricht,44,0.0,0.0,0.0,0.0,0.0,0.0031,0.0081
system,42,0.0,0.0,0.0,0.0,0.0,0.0,0.018
methodischdidaktisch,42,0.0,0.0,0.0,0.0001,0.0073,0.0016,0.0001
kerncurriculum,41,0.0001,0.0,0.0031,0.0083,0.0,0.0,0.0001
ritual,39,0.0,0.0,0.0,0.0097,0.0018,0.0,0.0001
stellen,39,0.0043,0.0,0.0,0.0,0.0,0.0,0.0104
deutschland,39,0.0,0.0,0.0,0.0071,0.0049,0.0,0.0001
medial,39,0.0,0.0,0.0,0.0,0.0077,0.001,0.0001
lüge,37,0.0,0.0,0.0,0.0,0.0088,0.0,0.0001
geschichte,36,0.0067,0.0017,0.0,0.0,0.0,0.0,0.0001
international,32,0.0,0.0,0.0,0.0,0.008,0.0005,0.0001
verstehen,32,0.0,0.0,0.0028,0.0,0.0,0.0,0.0094
prägen,32,0.0064,0.0,0.0017,0.0,0.0,0.0,0.0001
chance,29,0.0,0.0002,0.0,0.0,0.0074,0.0,0.0001
verlässlichkeit,29,0.0014,0.0,0.0,0.0074,0.0,0.0,0.0001
aufbauend,28,0.0078,0.0,0.0,0.0,0.0,0.0,0.0001
wandel,27,0.0081,0.0001,0.0,0.0,0.0,0.0,0.0001
gesellschaftswissenschaftlich,26,0.0,0.0,0.0069,0.0,0.0,0.0,0.0001
klasse,25,0.0,0.0,0.0,0.0071,0.0,0.0003,0.0001
demokratie,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0114
beziehungsweise,24,0.0,0.0,0.0,0.0081,0.0,0.0,0.0001
leiten,24,0.0,0.0003,0.0,0.0,0.0,0.0,0.0093
notwendig,23,0.0,0.0,0.001,0.0,0.0,0.0,0.0076
bundesrepublik,21,0.0,0.0,0.0,0.0072,0.0,0.0,0.0001
