rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,politisch,56,72.48275936745391,0.06654996776732507
2,sinn,38,39.159913072646106,0.0359546321842437
3,kulturell,70,29.12485953409306,0.02674095854154356
4,sozial,39,27.35492004924598,0.025115890501990163
5,mensch,32,24.033303022201196,0.022066151391416433
6,vertreten,19,23.90829622115476,0.021951376531119487
7,möglichkeit,24,21.84494343471561,0.02005691138342806
8,unterschiedlich,41,20.557158893287472,0.018874533388009415
9,formulieren,15,19.905654874440973,0.01827635567191676
10,verschieden,27,19.011732294646826,0.01745560161411116
11,gestaltung,11,18.328977877425118,0.016828731378269866
12,einflussnahme,12,17.99031699858139,0.01651779025561134
13,handlungsalternative,10,16.68862150508106,0.01532263993446867
14,berücksichtigung,10,16.673712736798564,0.015308951464861427
15,berücksichtigen,11,16.435301908045584,0.015090054818164276
16,differenz,11,16.31764359171828,0.014982026961230126
17,auseinandersetzung,25,16.16399170717449,0.014840951648245152
18,urteil,12,15.315963786284009,0.014062335722284778
19,geschlechtsspezifisch,9,15.037466932308382,0.01380663413452622
20,gruppenarbeit,9,15.032211525930755,0.013801808888797616
