rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,norm,1229,504.60874285534595,0.06039698155938222
2,moralisch,331,281.6690959581641,0.03371317567383062
3,handeln,413,216.16475203717656,0.025872913871253327
4,ethik,295,206.2271174349481,0.024683471273769974
5,leben,336,148.93343142230006,0.01782594899226066
6,regel,190,137.08558407826843,0.016407871664652834
7,welt,229,106.29645384004081,0.012722698631967734
8,ethisch,366,102.14101931056747,0.01222533169926723
9,gerechtigkeit,230,87.6753859187075,0.01049392968615664
10,wertvorstellung,163,86.0301883948673,0.010297014817130275
11,mensch,374,81.55773600402694,0.009761703789726545
12,toleranz,138,78.29564899046753,0.009371262260536618
13,begriff,103,77.9060131355014,0.009324626466209905
14,moral,106,72.51719446815719,0.00867963490336704
15,thema,67,68.06650527700067,0.008146928728908466
16,ethikunterricht,85,64.20473951017537,0.007684711220575553
17,religion,173,62.49017403132851,0.007479493651370747
18,inhaltsbezogen,66,60.47489138417348,0.007238283029080642
19,methodischdidaktisch,65,59.61150022642968,0.007134943123517939
20,miteinander,80,58.86591048417777,0.007045702953680925
