topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,208,0,0,1,0,209
2,185,3,5,0,1,194
3,173,4,0,1,0,178
4,145,1,21,1,3,171
5,215,14,2,3,5,239
