topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,7,0.1133,80,31.8553
2,2,0.0994,73,45.1519
3,3,0.0889,51,45.7269
4,18,0.0837,50,37.1725
5,14,0.0815,60,48.276
6,12,0.0673,46,22.4944
7,10,0.0624,46,54.8635
8,9,0.0572,36,45.3159
9,15,0.0538,30,29.2573
10,6,0.0516,33,57.6164
11,19,0.0502,28,33.2968
12,16,0.0449,28,59.1634
13,20,0.0337,20,38.9531
14,1,0.0325,20,40.4011
15,13,0.0254,15,58.1581
16,5,0.0195,9,52.2449
17,17,0.0145,7,45.7905
18,4,0.014,7,45.2748
19,8,0.0037,1,49.3115
20,11,0.0025,0,1.0306
