,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,handlungen,0.0352,handlungen,0.0311,motivation,0.1458,dimensionen,0.1225,aufgaben,0.1781,les,0.1982,handlungen entscheidungen,0.1797,verstehen,0.2545,gegenstandsbereiche,0.269,glck,0.2783,gottes,0.2232
1,leben,0.0277,eigene,0.0293,motive,0.1417,dimension,0.1131,bewltigung,0.1681,handlungen ablufe,0.1673,bewerten,0.1553,erkennen,0.2119,kommunizieren,0.239,reaktionen,0.0673,jesu,0.1885
2,lernbereich,0.0258,analysieren,0.0292,handelns,0.0871,verantwortlichen handeln,0.1106,fertigkeiten,0.1557,les verbes,0.1649,personen,0.153,anteil,0.206,ethisch,0.218,moral,0.0523,sichtbar,0.1676
3,verantwortung,0.025,verantwortung,0.0271,gerne,0.0798,potenziale,0.1051,kenntnisse,0.1335,verbes,0.1649,menschlichen lebens,0.1213,einfhlen,0.1821,vorstellen,0.1799,wege glck,0.0505,reich,0.1569
4,welt,0.0245,beurteilen,0.0264,guten,0.0773,verantwortlichen,0.0966,beherrschung,0.111,ablufe,0.1576,beschreiben bewerten,0.1199,prozessbezogene,0.1815,kompetenzen befhigen,0.1784,selbstverwirklichung,0.0484,aktuellen,0.126
5,reflektieren,0.0244,menschen,0.0253,handlung,0.0769,aspekten,0.0846,verantwortungsvolle,0.1102,uern,0.132,motive,0.1196,ethisch,0.1717,emotionalen,0.177,wege,0.0434,knstlerische,0.1167
6,werte,0.0237,gesellschaft,0.0249,gerechten,0.0748,entwicklung,0.0751,gezielt,0.1095,beschreiben handlungen,0.1264,rekonstruieren,0.1179,kommunizieren,0.1647,themas,0.177,situationen,0.0418,daraus,0.1162
7,normen,0.0236,reflektieren,0.0236,allein,0.0743,berfachlichen,0.0735,verknpfen,0.1095,drcken,0.1237,nachvollziehen,0.1173,prozessbezogene kompetenzen,0.162,wort,0.1731,erfolg,0.0385,zeigen,0.1145
8,menschen,0.0233,entwicklung,0.0236,beim,0.074,selbstbestimmte,0.0679,zielen,0.1054,verwenden,0.1086,folgen eigenen,0.1143,nehmen,0.1581,umfassen,0.1719,dinge,0.0385,erlutern,0.1133
9,inhalte,0.023,dabei,0.023,insbesondere,0.0737,folgenden,0.0677,weisen,0.1047,schriftlichen,0.0981,unterschiede,0.1137,kognitiven,0.158,ausdrcken,0.1696,ideen,0.0365,eigenen handeln,0.1132
10,denken,0.0227,bewerten,0.0225,perspektivwechsel,0.0703,performative,0.066,eigenem,0.1047,vergangenheit,0.0938,handelns beschreiben,0.1113,besonders,0.1406,beinhaltet,0.1618,handlungen,0.0358,aussagen,0.113
11,bedeutung,0.0226,eigenen,0.0224,einsicht,0.0684,lernenden,0.0654,folgende,0.0999,formulieren,0.0888,einordnen,0.111,umfasst,0.1333,tat,0.1593,gute,0.0354,gott,0.1078
12,orientierung,0.0218,bedeutung,0.0223,einfhlen,0.0684,urteils,0.0653,voraus,0.0995,wnsche,0.0836,entscheidungen,0.1062,prozessbezogenen kompetenzen,0.1296,bewltigen,0.1577,persnliche,0.0353,menschen,0.1078
13,umgang,0.0201,ber,0.0214,schlielich,0.0675,entwickeln,0.0638,verfahren,0.099,gegenwart,0.0831,fremden,0.1042,urteilen,0.129,bezglich,0.157,leben,0.0343,verantwortlichem,0.1046
14,kompetenzerwartungen,0.0201,entwickeln,0.0211,fhrt,0.0661,normative,0.0617,merkmale,0.0981,korrekt,0.083,wahrnehmen,0.1042,gefrdert,0.1268,eigene position,0.1562,verantwortungsrelationen,0.0337,reaktionen,0.1036
15,entwicklung,0.0196,inhalte,0.0207,strken,0.0656,persnlichkeit,0.06,setzt,0.096,vorschlge,0.0798,deuten,0.093,prozessbezogenen,0.1261,konkrete,0.1527,verantwortungsrelationen ethisch,0.0337,handeln erlutern,0.0994
16,schule,0.0191,ethik,0.0201,moralisch,0.0586,eigenverantwortlich handeln,0.0582,problemstellungen,0.0908,ort,0.077,kulturelle,0.0903,vier,0.1208,person,0.1426,selbstverwirklichung glck,0.0337,glaubens,0.0973
17,entwickeln,0.0187,erkennen,0.0198,situation,0.056,entfaltet,0.0576,veranschaulichen,0.0847,sprachlich,0.077,erleben,0.0857,bereiche,0.1178,fremde,0.1426,analysieren,0.0337,folgende,0.0888
18,eigenes,0.0181,normen,0.0193,weshalb,0.0493,positiven,0.0566,fhigkeiten,0.0832,handlung,0.0768,menschlichen,0.0851,ethik,0.07,position,0.1407,analysieren handlungen,0.0332,beziehung,0.083
19,grundlage,0.0179,welt,0.0192,bzgl,0.0433,gelegenheiten,0.0561,bereitschaft,0.0832,richtig,0.0724,lebens,0.0789,gegenstandsbereiche,0.053,befhigen,0.1353,situationen gesellschaft,0.0327,ausgewhlten,0.0813
