subject,-1_handlungen_leben_lernbereich_verantwortung,0_handlungen_eigene_analysieren_verantwortung,1_motivation_motive_handelns_gerne,2_dimensionen_dimension_verantwortlichen handeln_potenziale,3_aufgaben_bewltigung_fertigkeiten_kenntnisse,4_les_handlungen ablufe_les verbes_verbes,5_handlungen entscheidungen_bewerten_personen_menschlichen lebens,6_verstehen_erkennen_anteil_einfhlen,7_gegenstandsbereiche_kommunizieren_ethisch_vorstellen,8_glck_reaktionen_moral_wege glck,9_gottes_jesu_sichtbar_reich,entropy,subject_total,subject_proportion
Bio,0.2942,0.6545,0.0,0.0116,0.0099,0.0116,0.0,0.0066,0.0,0.0033,0.0083,1.2667,605,0.1601
"Ethik, Philo",0.22,0.675,0.0335,0.0151,0.0059,0.0046,0.0131,0.0085,0.0118,0.0092,0.0033,1.5039,1523,0.4031
Geschichte,0.2112,0.7492,0.0,0.0231,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,1.0092,303,0.0802
"Psychologie, Gesundheit",0.0345,0.9483,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3412,58,0.0154
Sozialkunde,0.2048,0.7688,0.0,0.0062,0.0078,0.0054,0.0,0.0016,0.0,0.0016,0.0039,0.9609,1289,0.3412
TOTAL,0.2231,0.7139,0.0135,0.0122,0.0079,0.0056,0.0053,0.005,0.0048,0.0048,0.004,1.2719,3778,1.0
