term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
verantwortung,561,0.0104,0.0026,0.0214,0.0392,0.0156,0.0359,0.0041
mensch,486,0.0089,0.0036,0.0183,0.0123,0.004,0.0379,0.0225
handeln,328,0.0102,0.0046,0.0,0.012,0.0098,0.026,0.0026
gerechtigkeit,272,0.0168,0.0063,0.0162,0.0081,0.0067,0.0002,0.0001
sozial,263,0.0273,0.0059,0.0022,0.0064,0.0051,0.0036,0.0
ethik,231,0.0042,0.0002,0.0486,0.005,0.0003,0.0,0.0
gesellschaft,210,0.0135,0.0056,0.0105,0.0115,0.0,0.004,0.0
politisch,208,0.0051,0.0239,0.0,0.0001,0.0,0.0,0.0078
leben,199,0.0024,0.0075,0.0019,0.0022,0.0178,0.0049,0.0053
wert,198,0.0143,0.005,0.0007,0.0099,0.0032,0.0033,0.0
revolution,179,0.0,0.0174,0.0008,0.0,0.0109,0.0001,0.0036
bedeutung,165,0.0059,0.0064,0.0024,0.0112,0.0088,0.0,0.0016
kompetenz,163,0.0073,0.0021,0.0025,0.0005,0.0053,0.008,0.0066
beschreiben,162,0.0137,0.0039,0.0011,0.0,0.0097,0.0009,0.0
grundlage,157,0.003,0.0084,0.0107,0.0059,0.0043,0.0001,0.0
frage,157,0.0032,0.0034,0.0,0.0,0.0022,0.0117,0.0108
ethisch,153,0.011,0.0001,0.0071,0.0,0.0001,0.0074,0.0041
verschieden,150,0.0055,0.0064,0.001,0.0,0.0092,0.0043,0.0005
autonomie,144,0.0,0.0,0.0051,0.0001,0.0039,0.0173,0.0047
begriff,144,0.011,0.0,0.0018,0.0031,0.0051,0.0015,0.0061
möglichkeit,139,0.0017,0.0029,0.0,0.0,0.0098,0.0065,0.0096
aspekt,137,0.0034,0.0041,0.0141,0.0,0.0037,0.003,0.0
gesellschaftlich,136,0.0128,0.003,0.0,0.0052,0.0029,0.0016,0.0
menschenwürde,130,0.0149,0.0,0.0,0.0012,0.0064,0.0016,0.0
zusammenhang,125,0.0066,0.0,0.0,0.0,0.0066,0.0088,0.0028
französisch,117,0.0,0.011,0.0,0.0,0.0114,0.0001,0.0
frei,117,0.0,0.0,0.0,0.0,0.0,0.0172,0.0102
welt,116,0.0,0.0005,0.0108,0.0096,0.0035,0.0051,0.0
reflektieren,114,0.0022,0.0019,0.0056,0.0026,0.0082,0.0034,0.0005
konflikt,109,0.0,0.0046,0.0,0.0264,0.0,0.0,0.0
demokratie,109,0.0,0.0176,0.0,0.0,0.0,0.0,0.0
analysieren,108,0.01,0.0012,0.0043,0.0001,0.0042,0.0006,0.0
religion,107,0.0,0.0,0.0108,0.0188,0.0,0.0,0.0013
norm,106,0.0083,0.0,0.0,0.0094,0.0023,0.0009,0.002
perspektive,104,0.0105,0.001,0.008,0.0,0.0,0.0,0.0
philosophisch,104,0.0033,0.0001,0.0067,0.0015,0.0033,0.0,0.0092
gleichheit,103,0.0,0.0151,0.0,0.0,0.0,0.0,0.0
individuell,102,0.0048,0.004,0.0,0.0052,0.0002,0.0067,0.0
willensfreiheit,100,0.0044,0.0,0.0,0.0,0.0072,0.0,0.0099
form,99,0.0,0.0033,0.0,0.0028,0.0086,0.006,0.0
menschlich,98,0.0071,0.0,0.0,0.0002,0.0,0.0067,0.0039
menschenrecht,97,0.0007,0.0106,0.0,0.0015,0.0016,0.0,0.0029
natur,95,0.0018,0.0,0.0003,0.0065,0.0036,0.0086,0.0
europäisch,93,0.0,0.0112,0.0042,0.0,0.0,0.0,0.0
entwicklung,91,0.0028,0.0085,0.0,0.0019,0.0,0.0014,0.0
moralisch,88,0.0053,0.0,0.0,0.0,0.0011,0.007,0.0027
herrschaft,87,0.0,0.0061,0.0117,0.0,0.0,0.0,0.0
sicherheit,86,0.0048,0.0092,0.0004,0.0,0.0,0.0,0.0
europa,84,0.0,0.011,0.0001,0.0,0.0035,0.0,0.0
vernunft,83,0.0,0.0,0.0026,0.0025,0.0155,0.0013,0.0
handlungsfreiheit,82,0.0034,0.0,0.0,0.0,0.0048,0.0,0.0098
technik,82,0.0,0.0,0.0,0.0,0.0,0.0155,0.0
wille,82,0.0,0.0,0.0,0.0,0.0046,0.004,0.0112
denken,80,0.0013,0.0006,0.0,0.0,0.0,0.0087,0.0064
deutschland,80,0.0002,0.0123,0.0,0.0,0.0,0.0,0.0
problem,80,0.0046,0.0,0.0037,0.0,0.0,0.0014,0.0089
religiös,78,0.0,0.0,0.0,0.0139,0.0014,0.0,0.007
medium,78,0.0029,0.0026,0.002,0.0096,0.0,0.0,0.0015
politik,78,0.0024,0.01,0.0,0.0,0.0,0.0,0.0
glück,77,0.0,0.0,0.0094,0.0033,0.0075,0.0,0.0
eth,77,0.0,0.0008,0.0002,0.029,0.0001,0.0,0.0
bewerten,75,0.0038,0.0018,0.0,0.0005,0.0082,0.0,0.0
demokratisch,75,0.0,0.0124,0.0,0.0,0.0,0.0,0.0
möglich,74,0.0025,0.0,0.0001,0.0039,0.0019,0.0075,0.0
thema,72,0.0,0.0023,0.0018,0.0,0.0,0.0045,0.007
abhängigkeit,71,0.0035,0.0,0.0,0.0,0.0092,0.0011,0.0
handlung,71,0.0103,0.0,0.0,0.0,0.0,0.0,0.0
ziel,71,0.0003,0.0018,0.0,0.0,0.0093,0.0039,0.0
spannungsfeld,70,0.0029,0.0019,0.0,0.0,0.0,0.007,0.0007
bne,69,0.0,0.008,0.0025,0.0012,0.0,0.0,0.0
staat,68,0.0,0.0098,0.0,0.0,0.0,0.0,0.0
anthropologie,66,0.0,0.0,0.0177,0.0001,0.0,0.0,0.0005
sinn,66,0.0009,0.0007,0.0,0.0,0.0042,0.0077,0.0
bedürfnis,66,0.0,0.0008,0.0,0.0133,0.0049,0.0007,0.0
voraussetzung,66,0.0072,0.0,0.0,0.0,0.0,0.004,0.0
allgemein,64,0.0011,0.0005,0.0086,0.0,0.0005,0.0042,0.0
solidarität,64,0.0019,0.0077,0.0,0.0,0.0,0.0,0.0
frieden,64,0.0,0.0097,0.0,0.0,0.0,0.0,0.0
ökonomisch,62,0.0083,0.0007,0.0,0.0,0.0005,0.0014,0.0011
geschichte,60,0.0,0.0018,0.0023,0.0012,0.0,0.0,0.0097
deutsch,58,0.0,0.0077,0.0,0.0,0.0,0.0,0.001
gott,57,0.0,0.0,0.0,0.0117,0.0,0.0001,0.0054
pflicht,57,0.0023,0.0,0.0,0.0,0.0101,0.0,0.0
gewissen,56,0.0001,0.0,0.0,0.0153,0.0,0.0,0.0014
untersuchen,56,0.0008,0.0008,0.0025,0.0,0.008,0.0,0.0
moral,55,0.0,0.0,0.0123,0.0,0.0019,0.0,0.0001
negativ,55,0.0,0.0,0.0,0.0,0.0007,0.0,0.0138
angewandte,54,0.0,0.0,0.0142,0.0,0.0,0.0,0.0
dimension,53,0.0001,0.0,0.0103,0.0,0.0,0.0025,0.0012
positiv,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0143
wahrnehmen,50,0.0,0.0,0.0022,0.01,0.0,0.0021,0.0
selbstverständnis,49,0.0,0.0,0.0107,0.0005,0.0018,0.0,0.0
setzen,47,0.0015,0.0001,0.0,0.0006,0.0,0.0066,0.0011
kennen,47,0.0,0.0,0.0,0.0,0.0,0.0005,0.0137
bürgertum,46,0.0,0.0,0.0,0.0,0.0137,0.0,0.0
wesen,46,0.0006,0.0,0.0,0.0,0.0,0.0035,0.0067
moralphilosophie,45,0.0,0.0,0.0104,0.0,0.001,0.0,0.0
vergleich,44,0.0004,0.0,0.0095,0.0,0.0019,0.0,0.0
marktwirtschaft,42,0.0081,0.0008,0.0,0.0,0.0,0.0,0.0
rev,41,0.0,0.0,0.0,0.014,0.0,0.0,0.0
kommunikation,41,0.0,0.0,0.0,0.0145,0.0,0.0,0.0
weltanschauung,41,0.0,0.0,0.0,0.0122,0.0,0.0,0.0
gut,39,0.0,0.0004,0.0,0.0,0.0081,0.0003,0.0
wahlmodul,39,0.0,0.0003,0.0106,0.0,0.0,0.0,0.0
stellung,38,0.0,0.0,0.0014,0.0,0.0081,0.0005,0.0
heteronomie,35,0.0001,0.0,0.0,0.0,0.0,0.0068,0.0
rrk,32,0.0,0.0,0.0,0.0103,0.0,0.0,0.0
lernbereich,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0083
kämpfen,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0067
