rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,wert,1230,148.72933062646499,0.03447357698978605
2,handeln,338,112.33192865764772,0.026037119744163634
3,europäisch,61,72.86314676691168,0.01688875549433993
4,sinn,96,60.94799632331673,0.014126974382087256
5,sozial,178,58.17038554108906,0.013483159347450457
6,historisch,115,55.95926443594275,0.012970649452254046
7,beitrag,66,42.76869776628373,0.00991324299644578
8,auseinandersetzung,78,39.662355561041586,0.009193232177342546
9,tragen,48,35.29552440263891,0.008181055967670261
10,leben,132,35.12352024102701,0.00814118757935092
11,toleranz,81,33.9751801011756,0.007875016864705178
12,leisten,46,33.54415964443942,0.007775111776469518
13,gegenwärtig,32,32.95385226354745,0.007638285994647589
14,berücksichtigung,41,32.16321892722434,0.007455027191050338
15,gesellschaftlich,270,29.134591936657362,0.006753029775390104
16,aufgabe,100,26.150464000808544,0.006061346677573821
17,bedeutung,169,26.045418201635712,0.006036998390453958
18,bilden,25,25.42434574580917,0.005893041653527973
19,fördern,48,25.05989486170808,0.005808566549934527
20,demokratisch,70,24.262270405448565,0.005623687293193585
