subject,-1_inhalte_lsen_kompetenzerwartungen_form,0_zahlen_rationale zahlen_sowohl_tragen,1_vermittelt_argumentation_schlern_sollen,2_welt_deren_fach_betrachtung,3_sozialen_erkenntnisse_rational_wissenschaftlichen,4_eigene_positionen_rahmen_rationaler,5_wirtschaft_gesellschaftlichen_wirtschaftlichen_beurteilen,6_entwickeln_interessen_politischen_bereitschaft,7_entscheidungen_kologie_formulieren_kriterien,entropy,subject_total,subject_proportion
Bio,0.2414,0.0862,0.0,0.4828,0.0172,0.0172,0.0172,0.1034,0.0345,2.1161,58,0.1706
"Ethik, Philo",0.2143,0.0446,0.1339,0.0536,0.0268,0.4018,0.0089,0.0982,0.0179,2.4529,112,0.3294
Geschichte,0.16,0.0,0.04,0.04,0.0,0.12,0.0,0.64,0.0,1.5737,25,0.0735
"Psychologie, Gesundheit",0.0625,0.0,0.0,0.0,0.75,0.0,0.0,0.125,0.0625,1.1863,16,0.0471
Sozialkunde,0.124,0.0388,0.0,0.031,0.0388,0.0775,0.1163,0.4109,0.1628,2.4929,129,0.3794
TOTAL,0.1735,0.0441,0.0471,0.1147,0.0618,0.1735,0.05,0.2588,0.0765,2.8939,340,1.0
