term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
persönlich,48,0.0001,0.0053,0.0001,0.0,0.0036,0.0153,0.0083,0.0,0.0001,0.0
gerechtigkeit,48,0.0001,0.0001,0.0052,0.0095,0.0001,0.0001,0.0002,0.0,0.0012,0.0
lebensgestaltung,47,0.0001,0.0001,0.0001,0.005,0.0034,0.0001,0.0208,0.0001,0.0001,0.0
argumentieren,47,0.0001,0.0182,0.0062,0.0001,0.0001,0.0001,0.0002,0.0,0.0001,0.0
medium,47,0.0001,0.0154,0.0001,0.0001,0.0039,0.0001,0.0002,0.0033,0.0001,0.0001
glücksbegriff,47,0.0054,0.0001,0.0004,0.0,0.0001,0.0011,0.0002,0.0132,0.0001,0.0
wunsch,47,0.0001,0.0032,0.0001,0.0011,0.0001,0.0001,0.0002,0.0028,0.0122,0.0057
möglich,46,0.0001,0.0001,0.0023,0.0,0.0002,0.0116,0.018,0.0044,0.0001,0.0
untersuchen,46,0.0001,0.0116,0.0001,0.0026,0.0007,0.0003,0.0002,0.0,0.0001,0.0024
antike,45,0.011,0.0001,0.0019,0.0,0.0104,0.0001,0.0002,0.0037,0.0188,0.0
interpretieren,45,0.0001,0.0182,0.0001,0.0,0.0001,0.0039,0.0002,0.0,0.0001,0.0
zusammenleben,45,0.0001,0.0001,0.0093,0.0057,0.0001,0.0096,0.0002,0.0,0.0001,0.0014
diskussion,44,0.0001,0.0019,0.0001,0.0033,0.0001,0.0001,0.0002,0.0127,0.0001,0.0053
erläutern,44,0.0001,0.0001,0.009,0.0005,0.0001,0.0001,0.0002,0.0081,0.0001,0.0037
analysier,43,0.0001,0.014,0.0001,0.0003,0.0001,0.0001,0.0002,0.0,0.0001,0.0052
möglichkeit,43,0.0001,0.0001,0.0001,0.0027,0.0047,0.0001,0.0149,0.0069,0.0001,0.0001
entwickeln,43,0.0001,0.0001,0.0001,0.0,0.0023,0.0098,0.0002,0.0001,0.0105,0.0079
umgang,43,0.0001,0.0001,0.0063,0.001,0.0005,0.0178,0.0073,0.0,0.0001,0.0
unterschiedlich,43,0.0001,0.0001,0.0083,0.0018,0.0001,0.0073,0.0158,0.0,0.0001,0.0
kompetenzerwartunge,42,0.0001,0.0001,0.0001,0.0,0.0046,0.0001,0.0002,0.0,0.0001,0.0163
materiell,40,0.0001,0.0102,0.007,0.0,0.0001,0.0001,0.0002,0.0039,0.0001,0.0001
denkanstöße,40,0.0001,0.0001,0.0001,0.0,0.0086,0.0001,0.0002,0.0,0.0002,0.0152
inhaltsbezogen,40,0.0001,0.0011,0.0001,0.0,0.0001,0.0001,0.0002,0.0097,0.0141,0.0
zukunft,40,0.0001,0.0001,0.0001,0.0028,0.0029,0.007,0.0119,0.0001,0.0001,0.0
freundschaft,39,0.0001,0.0001,0.0059,0.0028,0.0001,0.0098,0.0002,0.0001,0.0001,0.0
allgemein,38,0.0169,0.0015,0.0001,0.0039,0.0002,0.0001,0.0002,0.0006,0.0001,0.0
argument,38,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0421,0.0001
scheinen,38,0.0001,0.0001,0.0001,0.0044,0.0161,0.0001,0.0002,0.0,0.0001,0.0
philosophie,37,0.0008,0.0001,0.0024,0.0037,0.014,0.0001,0.0002,0.0,0.0001,0.0
wahrnehmung,36,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0032,0.0011,0.0001,0.015
hineinversetzen,36,0.0001,0.0118,0.0081,0.0,0.0001,0.0001,0.0002,0.0,0.0001,0.0
perspektive,34,0.0001,0.0001,0.0001,0.0065,0.0132,0.0001,0.0002,0.0,0.0001,0.0001
streben,34,0.0001,0.0001,0.0001,0.0043,0.0001,0.0015,0.0174,0.0009,0.0001,0.0
geschichte,34,0.0001,0.0001,0.0195,0.0,0.0049,0.0001,0.0002,0.0,0.0001,0.0
schuljahrgang,33,0.0001,0.0001,0.0001,0.0,0.0001,0.0156,0.0102,0.0,0.0001,0.0
technik,33,0.0001,0.0105,0.0001,0.0006,0.0047,0.0001,0.0002,0.0001,0.0001,0.0
aristoteles,31,0.0001,0.0001,0.0199,0.0,0.0001,0.0001,0.0053,0.0,0.0001,0.0
relevanz,31,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0078,0.0096
reflexion,30,0.0001,0.0001,0.0001,0.0023,0.0103,0.0001,0.0002,0.0001,0.0001,0.0
arbeit,29,0.0007,0.0026,0.0002,0.0005,0.012,0.0001,0.0002,0.0,0.0001,0.0
auseinandersetzung,29,0.0001,0.0001,0.0001,0.0021,0.0106,0.0001,0.0002,0.0,0.0001,0.0
lernen,28,0.0001,0.0001,0.0124,0.0007,0.0001,0.002,0.0002,0.0017,0.0001,0.0
aussage,28,0.0001,0.0001,0.0001,0.0037,0.0001,0.0001,0.0002,0.0001,0.015,0.0005
proximum,28,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0109,0.0001,0.0
differentia,28,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0109,0.0001,0.0
specifica,28,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0109,0.0001,0.0
genus,28,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0109,0.0001,0.0
konkretisierung,28,0.0151,0.0001,0.0001,0.0017,0.0001,0.0001,0.0002,0.0018,0.0001,0.0
kultur,28,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0037,0.0146,0.0001,0.0
relevant,27,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0135,0.006
hedonismus,27,0.0001,0.0001,0.0001,0.0031,0.0001,0.0001,0.0153,0.0,0.0001,0.0
sinnvoll,26,0.0001,0.0001,0.0001,0.0014,0.0001,0.0001,0.0002,0.0001,0.0126,0.0031
vorbild,26,0.0001,0.0015,0.0001,0.0007,0.0001,0.0135,0.0002,0.0034,0.0001,0.0
wirklichkeit,26,0.0001,0.0117,0.0001,0.0,0.0001,0.0001,0.0002,0.0008,0.0001,0.0
selbstverständlich,24,0.0001,0.0001,0.0003,0.0,0.0142,0.0001,0.0002,0.0,0.0001,0.0
freud,24,0.0041,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0153,0.0001,0.0
gegenstand,24,0.0001,0.0001,0.0001,0.0,0.018,0.0001,0.0002,0.0,0.0001,0.0
inhaltsbezogene,24,0.0149,0.0001,0.0001,0.0006,0.0001,0.0001,0.0002,0.0028,0.0001,0.0
lebenskunst,23,0.0001,0.0001,0.0001,0.0,0.0136,0.0001,0.0002,0.0,0.0001,0.0
reflexionsbereich,23,0.0001,0.0001,0.0001,0.0,0.0127,0.0001,0.0002,0.0,0.0027,0.0
eher,23,0.0139,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0001,0.0
erklären,23,0.0056,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0001,0.0092
kompetenzerwerb,23,0.0001,0.0001,0.0001,0.0,0.0001,0.0076,0.0147,0.0001,0.0001,0.0
misserfolg,22,0.0001,0.0001,0.0001,0.0,0.0017,0.0115,0.0002,0.0,0.0001,0.0
grundbegriff,22,0.0001,0.0001,0.0031,0.0,0.0001,0.0108,0.0002,0.0,0.0001,0.0
bne,21,0.0001,0.0001,0.009,0.0017,0.0001,0.0001,0.0002,0.0,0.0001,0.0
genuss,21,0.0001,0.0001,0.0021,0.0001,0.0001,0.0001,0.0002,0.0,0.0001,0.0098
alltag,20,0.0001,0.0001,0.0001,0.0,0.012,0.0001,0.0002,0.0,0.0001,0.0
relativ,20,0.0001,0.0105,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0002,0.0
bzgl,19,0.0187,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0001,0.0001,0.0009
schuljahrgänge,19,0.0001,0.0001,0.0001,0.0001,0.0001,0.0113,0.0002,0.0,0.0001,0.0
erörtern,19,0.0001,0.0001,0.0109,0.0009,0.0001,0.0001,0.0002,0.0,0.0001,0.0
essay,18,0.0114,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0001,0.0001,0.0
entscheiden,17,0.0001,0.0023,0.0092,0.0,0.0001,0.0001,0.0002,0.0,0.0001,0.0
identifizieren,17,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0153,0.0014
kompetenzbereich,16,0.0001,0.0001,0.0001,0.0,0.0001,0.0096,0.0002,0.0001,0.0001,0.0
konsumgemeinschaft,16,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0181,0.0001
antik,15,0.0001,0.0001,0.0001,0.0,0.0124,0.0001,0.0002,0.0,0.0001,0.0
glückskonzeptioner,15,0.0001,0.0001,0.0113,0.0,0.0001,0.0001,0.0002,0.0,0.0001,0.0
anspruch,14,0.0001,0.0001,0.0001,0.0014,0.0001,0.0001,0.0002,0.0141,0.0001,0.0
lebensentwürfe,13,0.0001,0.0001,0.0008,0.0,0.0001,0.0001,0.0176,0.0,0.0001,0.0
methodisch,12,0.0001,0.0001,0.001,0.0,0.0001,0.0001,0.0002,0.0,0.0122,0.0001
