rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,gesellschaft,12,4.764158174485398,0.08454925701022795
2,welt,20,4.022065964825659,0.07137938677043758
3,entwickeln,37,2.169853050819655,0.03850826453468763
4,wahrnehmen,7,2.1475774971008965,0.03811294148968485
5,möglichkeit,24,1.8346409208890548,0.03255927302591817
6,methode,12,1.7367943151046272,0.030822794614191292
7,entwicklung,27,1.7323398033284567,0.03074374063503595
8,nachhaltig,8,1.7310572713986212,0.03072097961036212
9,rollenspiel,7,1.7303541600139682,0.030708501530711824
10,lehrplan,6,1.7301562615473336,0.030704989437346196
11,eingeordnen,5,1.462276139660679,0.02595093542742189
12,bieten,5,1.4602354490532625,0.025914719401772524
13,zusammenhang,13,1.4596502045438087,0.0259043330991706
14,kontext,13,1.4581237817808472,0.02587724375709479
15,global,19,1.4580421981409775,0.025875795896658057
16,vornehmen,11,0.7691514683656687,0.013650089438029102
17,gegenwart,5,0.7647229843391198,0.013571497371936162
18,beziehung,12,0.7645163727377012,0.013567830647039581
19,bewusst,5,0.7640580348456713,0.013559696549301536
20,geschichte,14,0.23613584302096013,0.004190690012735049
