topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,7,0.3105,106,25.8813
2,2,0.2527,85,36.5231
3,3,0.2108,66,23.5103
4,1,0.0756,23,18.2248
5,6,0.0699,15,36.8427
6,4,0.0425,9,45.652
7,5,0.038,8,33.8283
