topic_id,"Ethik, Philo",Geschichte,Sozialkunde,total
1,28,0,0,28
2,152,0,3,155
3,0,0,0,0
4,39,1,0,40
5,86,0,0,86
6,26,0,0,26
7,45,0,0,45
8,18,0,0,18
9,23,0,0,23
10,34,0,0,34
11,37,0,0,37
12,24,0,0,24
13,43,0,0,43
14,82,1,0,83
15,19,0,0,19
