term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
ethik,635,0.022,0.0075,0.0019,0.0107,0.0493,0.0004,0.0618,0.0274,0.0002,0.0134,0.0806,0.0235,0.0023,0.0091,0.0001
ethisch,537,0.0242,0.0204,0.0511,0.0097,0.0001,0.0137,0.0067,0.0271,0.0403,0.0,0.0063,0.0172,0.0,0.0145,0.0001
handeln,523,0.0001,0.0244,0.0043,0.0023,0.0085,0.0227,0.0151,0.0001,0.0,0.0321,0.0001,0.0188,0.0168,0.032,0.0438
wert,511,0.0001,0.0002,0.0031,0.0172,0.0001,0.0035,0.0485,0.0001,0.0001,0.0116,0.0,0.0496,0.0189,0.0314,0.0171
norm,509,0.0001,0.0,0.0073,0.0172,0.0001,0.0162,0.0521,0.0137,0.0,0.0094,0.0005,0.0315,0.0093,0.0541,0.0001
mensch,422,0.0001,0.0286,0.0,0.0,0.0001,0.0,0.0063,0.0234,0.0,0.0124,0.0,0.0148,0.0616,0.0071,0.0001
frage,314,0.0001,0.0335,0.0,0.011,0.0382,0.0091,0.0,0.0316,0.0,0.0,0.0,0.0094,0.0024,0.0101,0.0045
verantwortung,268,0.0038,0.0211,0.001,0.0,0.0001,0.0041,0.0,0.0001,0.0,0.0314,0.0,0.0168,0.0151,0.0,0.0001
ethischmoralisch,252,0.0427,0.0043,0.0102,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0111,0.002,0.0115,0.0248,0.0068,0.0001
leben,251,0.0001,0.0,0.0,0.0062,0.0001,0.0097,0.0,0.0001,0.0001,0.0111,0.0072,0.0102,0.0069,0.0498,0.0001
glück,237,0.0001,0.0,0.0194,0.0034,0.0001,0.0,0.0,0.0001,0.0,0.0664,0.0,0.0039,0.0064,0.0,0.0001
urteil,214,0.0103,0.0143,0.026,0.0,0.0001,0.0051,0.0,0.0062,0.03,0.0,0.0,0.0,0.0,0.0,0.0001
handlung,207,0.0001,0.0322,0.0,0.0036,0.0001,0.0055,0.0167,0.0001,0.0,0.0,0.0,0.0024,0.0,0.0069,0.0001
gerechtigkeit,197,0.0068,0.006,0.0064,0.0043,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0032,0.0188,0.0162,0.0,0.0111
gesellschaft,195,0.0001,0.0085,0.0,0.008,0.0001,0.0,0.0001,0.0001,0.0,0.0131,0.0125,0.0158,0.0034,0.009,0.0001
verschieden,193,0.0095,0.0058,0.0173,0.0125,0.0001,0.0072,0.0,0.0071,0.0063,0.0,0.0,0.0048,0.0091,0.0,0.0001
freiheit,179,0.0053,0.0091,0.0,0.0,0.0001,0.0055,0.0,0.0001,0.0,0.0057,0.0026,0.0147,0.0177,0.0,0.0001
regel,171,0.0001,0.0,0.0,0.0619,0.0001,0.0139,0.0,0.0001,0.0,0.0,0.0,0.0036,0.0,0.0,0.0142
perspektive,161,0.0001,0.0058,0.0289,0.0,0.0001,0.0017,0.0112,0.0001,0.0052,0.0,0.0,0.0,0.0,0.0034,0.0001
welt,159,0.0001,0.0005,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0025,0.0253,0.0017,0.0163,0.0138,0.0,0.0001
begriff,157,0.0001,0.0033,0.0054,0.0107,0.0072,0.0035,0.023,0.0001,0.0,0.0,0.0036,0.0091,0.0014,0.0,0.0001
natur,156,0.0001,0.0,0.0,0.0,0.0001,0.0,0.013,0.0001,0.0,0.0,0.0,0.0094,0.03,0.0034,0.0001
relevant,152,0.0176,0.0075,0.0109,0.0,0.0001,0.0005,0.0172,0.014,0.0,0.0,0.0,0.0,0.0014,0.0,0.0059
prinzip,149,0.0001,0.0,0.0021,0.0,0.0001,0.0195,0.0,0.0001,0.0367,0.0,0.0098,0.0049,0.0,0.0,0.0001
