topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_kritisch_historische_vergleichen_eigenen,0.0976,0.4634,0.3171,0.0,0.122,1.7374,41,0.1199
0_juden_formen vorurteilen_btv formen_btv,0.1,0.125,0.325,0.0,0.45,1.7526,40,0.117
1_klischees_formen_medien_mobbing,0.0196,0.7647,0.0392,0.098,0.0784,1.2069,51,0.1491
2_gruppen_beispiel_grundlegende_mglichkeiten,0.0,0.5385,0.0,0.3462,0.1154,1.3702,26,0.076
3_kulturelle_sprache_mglichkeiten_identitt,0.25,0.45,0.0,0.05,0.25,1.7345,20,0.0585
4_wahrnehmung_urteil_vorurteil_analysieren,0.0909,0.7091,0.0545,0.0182,0.1273,1.3787,55,0.1608
5_hinblick_analysieren_kulturen_sozialer,0.119,0.3095,0.0,0.0714,0.5,1.6612,42,0.1228
6_toleranz_respekt_religionen_handeln,0.0,1.0,0.0,0.0,0.0,0.0,18,0.0526
7_integration_gesellschaft_diskutieren_geschichte,0.2,0.2,0.4,0.0,0.2,1.9219,15,0.0439
8_reflektieren_auseinandersetzung_fhigkeit_bewusst,0.0294,0.6471,0.0,0.1471,0.1765,1.4043,34,0.0994
TOTAL,0.0819,0.5292,0.1082,0.0702,0.2105,1.8708,342,1.0
