subject,-1_kritisch_historische_vergleichen_eigenen,0_juden_formen vorurteilen_btv formen_btv,1_klischees_formen_medien_mobbing,2_gruppen_beispiel_grundlegende_mglichkeiten,3_kulturelle_sprache_mglichkeiten_identitt,4_wahrnehmung_urteil_vorurteil_analysieren,5_hinblick_analysieren_kulturen_sozialer,6_toleranz_respekt_religionen_handeln,7_integration_gesellschaft_diskutieren_geschichte,8_reflektieren_auseinandersetzung_fhigkeit_bewusst,entropy,subject_total,subject_proportion
Bio,0.1429,0.1429,0.0357,0.0,0.1786,0.1786,0.1786,0.0,0.1071,0.0357,2.8222,28,0.0819
"Ethik, Philo",0.105,0.0276,0.2155,0.0773,0.0497,0.2155,0.0718,0.0994,0.0166,0.1215,3.0112,181,0.5292
Geschichte,0.3514,0.3514,0.0541,0.0,0.0,0.0811,0.0,0.0,0.1622,0.0,2.0074,37,0.1082
"Psychologie, Gesundheit",0.0,0.0,0.2083,0.375,0.0417,0.0417,0.125,0.0,0.0,0.2083,2.2307,24,0.0702
Sozialkunde,0.0694,0.25,0.0556,0.0417,0.0694,0.0972,0.2917,0.0,0.0417,0.0833,2.7923,72,0.2105
TOTAL,0.1199,0.117,0.1491,0.076,0.0585,0.1608,0.1228,0.0526,0.0439,0.0994,3.2086,342,1.0
