rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,ökonomisch,58,103.48110958950335,0.0531890926973987
2,international,48,101.52230164465621,0.05218226915474272
3,politisch,43,94.26946250901811,0.048454323690734026
4,sozial,91,87.88594803696661,0.04517320944354418
5,wirtschaftlich,43,57.13012033055602,0.029364772740934332
6,marktwirtschaft,58,52.83090496538114,0.027154984254016495
7,kooperation,27,42.94475828048488,0.02207352373886595
8,bedeutung,48,40.78976236500426,0.020965859953990557
9,prozeß,14,40.66180911060314,0.02090009222559769
10,unternehmen,31,39.488973852231915,0.020297257142714
11,global,45,37.93501022913958,0.019498522808255064
12,marktwirtschaftlich,27,37.92768575690549,0.019494758043515262
13,ordnung,25,36.05690463270948,0.018533180118557462
14,markt,66,33.75998937662348,0.0173525700636531
15,handel,11,31.937946709493506,0.016416043612544947
16,ziel,23,27.976488290690785,0.01437986155100314
17,versus,14,26.486759592619567,0.013614143845327102
18,verbraucher,7,26.239855428519114,0.013487235576525114
19,angebot,25,24.48755580840999,0.012586556918388123
20,beziehung,74,24.15806531187435,0.012417199432440526
