topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,total
1,130,6,0,0,136
2,136,1,0,0,137
3,41,0,0,0,41
4,82,4,0,0,86
5,76,0,0,0,76
6,88,7,1,0,96
7,60,3,0,0,63
8,166,0,0,0,166
9,222,3,0,1,226
10,34,10,13,1,58
