term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
kooperation,450,0.0293,0.0078,0.0166,0.0396,0.0288,0.0384,0.0002,0.0313,0.0264,0.0574
kooperativ,191,0.017,0.0335,0.0243,0.0096,0.0002,0.0,0.0344,0.0195,0.0161,0.0001
lernen,179,0.0138,0.0359,0.0289,0.0002,0.0002,0.0,0.0056,0.011,0.0171,0.0076
lernende,140,0.0002,0.0001,0.0045,0.0002,0.029,0.0146,0.0111,0.0116,0.0032,0.009
kommunikation,136,0.0156,0.0056,0.0243,0.0002,0.0044,0.0,0.0001,0.0251,0.0,0.0191
international,121,0.0002,0.0001,0.0001,0.0002,0.0001,0.0316,0.0001,0.0028,0.0,0.017
individuell,117,0.033,0.0107,0.0182,0.0002,0.0055,0.0,0.011,0.0037,0.01,0.0001
fach,112,0.0002,0.0001,0.0025,0.0611,0.0001,0.0026,0.0001,0.0001,0.0133,0.0111
sozial,104,0.0158,0.0001,0.0023,0.0002,0.0104,0.0217,0.0049,0.0001,0.0,0.0001
unterricht,103,0.0002,0.0001,0.016,0.0184,0.0001,0.0,0.0449,0.0095,0.0033,0.0054
medium,85,0.0002,0.0011,0.0341,0.0002,0.0001,0.0,0.0001,0.0001,0.0043,0.0034
konflikt,84,0.0002,0.0088,0.0001,0.0002,0.0011,0.0126,0.0001,0.009,0.0,0.0153
angemessen,83,0.0002,0.0097,0.0001,0.0002,0.0001,0.0038,0.0001,0.0001,0.0187,0.0042
kompetenz,82,0.0002,0.0001,0.0165,0.0002,0.0095,0.008,0.0001,0.0001,0.0016,0.0031
entwicklung,81,0.0002,0.0001,0.0001,0.0002,0.0032,0.0237,0.0001,0.0001,0.0,0.0001
politisch,80,0.0002,0.0001,0.0035,0.0002,0.0001,0.0298,0.0001,0.0001,0.0,0.0032
bedeutung,80,0.0174,0.0001,0.0031,0.0002,0.0001,0.0122,0.0054,0.0097,0.003,0.0018
unterschiedlich,76,0.0002,0.0115,0.0001,0.0116,0.0077,0.0057,0.0161,0.003,0.0046,0.0001
fördern,72,0.0205,0.0001,0.0271,0.0002,0.0001,0.0,0.0001,0.0001,0.0025,0.0032
möglichkeit,69,0.0002,0.0001,0.0065,0.0002,0.0001,0.0063,0.0001,0.0001,0.0129,0.0036
selbstständig,68,0.0002,0.0264,0.0127,0.0002,0.0047,0.0,0.0051,0.0001,0.0,0.0001
partner,66,0.0002,0.0001,0.0001,0.0002,0.0001,0.0053,0.0001,0.0001,0.0198,0.0001
leistung,66,0.0082,0.0002,0.0001,0.0111,0.0001,0.0,0.0056,0.0001,0.0204,0.0001
angebot,64,0.0002,0.0001,0.0082,0.0002,0.0225,0.0,0.0001,0.0001,0.0024,0.0046
nutzen,63,0.0087,0.0286,0.0069,0.0002,0.0001,0.0021,0.0001,0.0001,0.0016,0.0001
sowohl,61,0.0002,0.0001,0.0078,0.0002,0.0001,0.0,0.0001,0.0001,0.0186,0.0001
digital,61,0.0002,0.0009,0.0208,0.0002,0.0038,0.0014,0.0001,0.0001,0.0035,0.0001
entwickeln,60,0.0002,0.0219,0.0005,0.0002,0.0001,0.01,0.0001,0.0002,0.0,0.0001
außerschulisch,59,0.0002,0.0001,0.0001,0.0015,0.0001,0.0,0.0001,0.0001,0.0235,0.0001
ziel,59,0.0002,0.0001,0.0001,0.0002,0.0039,0.0074,0.0059,0.0001,0.0109,0.0001
