Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
lernen,leistung,kooperation,lernen,lernende,kooperation,kooperativ
kommunikation,angemessen,lernen,selbstständig,angebot,international,jahrgangsstufe
kooperativ,außerschulisch,medium,kooperation,kooperation,politisch,modell
digital,partner,kompetenz,unterschiedlich,respektieren,lernende,kooperation
fördern,kooperation,fördern,fach,solidarität,konflikt,niveaustufen
individuell,sowohl,kommunikation,unterricht,rahmen,entwicklung,niveaustuf
kooperation,kooperativ,unterricht,entwickeln,meinung,ökonomisch,unterricht
medium,lernen,dienen,wissen,lerngruppe,sozial,kommunikation
reflektieren,gruppe,aktiv,anwenden,arbeiten,fähigkeit,unterschiedlich
einsatz,bewertung,selbstständig,form,verhalten,europäisch,jahrgangsstuf
chance,individuell,kooperativ,kooperativ,unterrichtsergänzend,gesellschaftlich,einzeln
sowohl,interesse,wichtig,arbeiten,kooperativ,bedeutung,zuordnen
ler,aufgabe,information,vorbereiten,verhaltensweise,global,hierbei
lernprozesse,einsatz,individuell,methode,produktiv,konfrontation,projekt
lernarrangement,erreichen,fächerübergreifend,element,bereich,wirtschaftlich,sozial
arbeitsform,ergebnis,erweiterung,spezifisch,regel,fachkonzept,methodenkompetenz
darstellung,ziel,arbeit,eingesetzt,sozial,welt,integrativ
risiko,fach,lassen,individuell,lernen,grundlage,bildung
unterstützen,inhaltlich,angebot,nutzen,aufgabe,thema,deutsch
technologie,fachlich,vertiefung,prinzip,nehmen,handeln,bieten
