term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
fortpflanzung,46,0.0,0.0062,0.0027,0.0,0.0,0.0001,0.0
verhaltens,45,0.0,0.0,0.0,0.0,0.0,0.0001,0.0063
lernbereich,44,0.0,0.0024,0.0014,0.0017,0.0,0.0082,0.0
demokratisch,42,0.0296,0.0,0.0,0.0014,0.0016,0.0001,0.0
darstellung,41,0.0,0.0004,0.0,0.0008,0.0,0.0106,0.0021
wirtschaftlich,41,0.0,0.0,0.0,0.0038,0.0001,0.0075,0.0007
ökosystem,41,0.0,0.0064,0.0003,0.0006,0.0,0.0001,0.0
analyse,38,0.0,0.0073,0.0,0.0,0.0,0.0001,0.0
sozialkompetenz,37,0.0,0.0,0.0,0.0,0.0081,0.0014,0.0
beobachtung,37,0.0,0.0064,0.0,0.0,0.0005,0.0001,0.0
erfassen,37,0.0,0.0,0.0,0.0004,0.0082,0.0001,0.0
zusammenleben,37,0.0,0.0,0.0,0.0004,0.0082,0.0001,0.0
positiv,37,0.0,0.0,0.0008,0.0,0.0078,0.0001,0.0
verweis,36,0.0,0.0,0.0,0.0,0.0,0.0219,0.0
sozialverhalten,33,0.0,0.0006,0.0072,0.0,0.0,0.0001,0.0
verwandtschaft,32,0.0,0.0,0.0077,0.0,0.0,0.0001,0.0
position,31,0.0471,0.0,0.0,0.0,0.0,0.0001,0.0
versetzen,30,0.0271,0.0,0.0,0.0,0.0042,0.0001,0.0
selbstständig,28,0.0,0.0,0.0,0.0,0.0,0.007,0.0025
wahlbereich,28,0.0,0.0025,0.0,0.0002,0.0,0.0071,0.0
denkweise,24,0.0459,0.0,0.0,0.0,0.0,0.0001,0.0
mobilität,20,0.0,0.0,0.0,0.0,0.0,0.0124,0.0
kinematik,18,0.0,0.0,0.0,0.0,0.0,0.011,0.0
privat,18,0.0,0.0,0.0,0.0008,0.0,0.0081,0.0
wertvorstellung,14,0.0272,0.0,0.0,0.0,0.0,0.0001,0.0
physik,13,0.0,0.0,0.0,0.0,0.0,0.008,0.0
grundordnung,11,0.0268,0.0,0.0,0.0,0.0,0.0001,0.0
kontroverse,9,0.0265,0.0,0.0,0.0,0.0,0.0001,0.0
lebensstil,9,0.0264,0.0,0.0,0.0,0.0,0.0001,0.0
freiheitlich,9,0.0264,0.0,0.0,0.0,0.0,0.0001,0.0
alternativ,8,0.0263,0.0,0.0,0.0,0.0,0.0001,0.0
aufgreifen,8,0.0263,0.0,0.0,0.0,0.0,0.0001,0.0001
basieren,8,0.0263,0.0,0.0,0.0,0.0,0.0001,0.0
akzeptieren,7,0.0261,0.0,0.0,0.0,0.0,0.0001,0.0
