Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
politisch,entwickeln,thema,perspektivwechsel,fähigkeit,kulturell,fach,inhalt,sozial,handeln
perspektivwechsel,toleranz,naturwissenschaftlich,verstehen,lernen,gemeinschaftsschule,lernen,setzen,perspektivwechsel,einsicht
sinn,perspektivwechsel,sichtweise,kulturell,perspektivenwechsel,politisch,lernende,historisch,konflikt,führen
reflektieren,position,idee,unterricht,unterschiedlich,wirtschaftlich,fremdsprachlich,kommunikation,empathie,lage
vertreten,perspektivenwechsel,team,zielen,kennen,gesellschaftlich,kompetenzbereiche,perspektivenwechsel,entwicklung,insbesondere
mensch,lernende,beitrag,norm,position,fordern,politik,fremdsprache,international,situation
möglichkeit,demokratisch,darstellen,austausch,methode,konzept,unterschiedlich,sprache,ökonomisch,durchführen
formulieren,empathie,unterschiedlich,wert,perspektivwechsel,beitragen,perspektivwechsel,sprachlich,global,mensch
verschieden,politisch,aufgabe,beschreiben,politisch,perspektivwechsel,mensch,begreifen,bne,perspektivwechsel
gestaltung,wert,arbeiten,beziehung,problem,kompetenz,verknüpfen,kompetenzerwartunge,lernbereich,handlung
einflussnahme,urteil,stehen,miteinander,erkennen,unterricht,bereiten,phänomen,kulturell,stärken
handlungsalternative,gesellschaft,wechseln,vielfalt,welt,sinn,abb,authentisch,medium,schließlich
berücksichtigung,freiheitlich,perspektive,umgang,setzen,vielfalt,deutungsmustern,englisch,wahlbereich,lernen
auseinandersetzen,grundordnung,verantwortung,fachlich,arbeit,verordnung,konfrontieren,nehmen,beurteile,entwickeln
gruppenarbeit,wissen,themenfeld,kultur,thema,internationalisierung,bedienen,aufgeführt,krieg,position
geschlechtsspezifisch,sachverhalt,zuhören,wahrnehmung,sozialwissenschaftlich,regelmäßig,nichtdeutsch,vertiefen,wechselwirkung,einsetzen
unterschiedlich,wertvorstellung,perspektivwechsel,zunehmend,bedürfnis,innewohnenden,inhaltlich,nutzen,regional,umgang
berücksichtigen,erkennen,wesentlich,prägung,empathie,lehrplan,verständigung,kulturell,positionieren,möglichkeit
differenz,fähigkeit,argumentieren,thema,umgang,verstärkt,authentisch,fähigkeit,aspekt,darstellen
position,handeln,ziel,verbunden,nehmen,interkulturell,fachsprachlich,unterschied,betrachten,beispiel
