term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
entwickeln,22,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.039,0.0001,0.0002,0.0073
fähigkeit,22,0.0003,0.0006,0.0003,0.0001,0.0348,0.0001,0.0004,0.0004,0.0012,0.0001,0.0254,0.0002
körperlich,22,0.0003,0.0006,0.0003,0.0003,0.0329,0.0037,0.0004,0.0237,0.0169,0.0001,0.0001,0.0002
möglichkeit,22,0.0118,0.0006,0.0046,0.0001,0.0003,0.0001,0.0157,0.0285,0.0001,0.0005,0.0002,0.0002
voraussetzung,22,0.0003,0.0006,0.0043,0.0001,0.0003,0.0001,0.0066,0.0004,0.0149,0.0001,0.0242,0.0002
gruppe,21,0.0003,0.0006,0.0161,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0003,0.0232,0.0002
handlung,21,0.0026,0.0852,0.0003,0.0001,0.0003,0.0001,0.0004,0.0005,0.0003,0.0002,0.0001,0.0003
psychologie,21,0.0013,0.0006,0.0335,0.0001,0.0003,0.0001,0.0004,0.0006,0.0001,0.0001,0.0001,0.0069
rolle,21,0.0002,0.0006,0.0003,0.0001,0.0003,0.0645,0.0363,0.0004,0.0001,0.0001,0.0001,0.0002
berücksichtigen,20,0.0189,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0062,0.0006,0.0002,0.0013,0.011
chance,20,0.0002,0.0006,0.0003,0.0001,0.0145,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0204
akzeptieren,19,0.0254,0.0207,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0003,0.001,0.0001,0.0002
gesellschaft,19,0.0133,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0222,0.0002
klassenstuf,19,0.0002,0.0006,0.0178,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0109,0.0001,0.0002
kreativ,19,0.0002,0.0006,0.0003,0.0001,0.0319,0.0001,0.0034,0.0004,0.0149,0.0113,0.0001,0.0002
individuum,18,0.0002,0.0006,0.0043,0.0306,0.0003,0.0001,0.0004,0.0005,0.0001,0.0001,0.0001,0.0083
inhalt,18,0.0081,0.0006,0.0003,0.0001,0.0003,0.0001,0.0186,0.0005,0.0002,0.0001,0.0156,0.0051
menschlich,18,0.0002,0.0006,0.0084,0.0001,0.0003,0.0001,0.0036,0.0004,0.0001,0.0001,0.0021,0.0177
nehmen,18,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0003,0.0276,0.0002
prozeß,18,0.019,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0005,0.0001,0.0001,0.0001,0.0139
sexuell,18,0.0002,0.0006,0.0003,0.0002,0.0048,0.0001,0.0006,0.0532,0.0001,0.0001,0.0001,0.0002
wertvorstellung,18,0.0255,0.0006,0.0003,0.0001,0.0003,0.0001,0.0126,0.0004,0.0003,0.0005,0.0001,0.0002
zusammenhang,18,0.0074,0.0006,0.0003,0.0001,0.0042,0.0001,0.0233,0.0084,0.0002,0.0002,0.0001,0.0037
formulieren,17,0.0003,0.0006,0.0003,0.0001,0.0003,0.0003,0.0204,0.0004,0.0001,0.0114,0.0001,0.0002
gedächtnis,17,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0279
gestaltung,17,0.0002,0.0006,0.0003,0.0323,0.0003,0.0001,0.0004,0.0005,0.0001,0.0002,0.0001,0.0067
situation,17,0.0044,0.0126,0.0003,0.0001,0.0003,0.0001,0.0004,0.0406,0.0001,0.0001,0.0001,0.0002
verhalten,17,0.0026,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0258
wissen,17,0.0004,0.0006,0.0255,0.0001,0.0003,0.0001,0.0067,0.0004,0.0001,0.0001,0.0021,0.0002
zentral,17,0.0003,0.0006,0.0056,0.031,0.0003,0.0001,0.0004,0.0004,0.0002,0.0001,0.0001,0.0046
etc,16,0.0002,0.0006,0.0003,0.0001,0.0253,0.0001,0.0004,0.0118,0.0001,0.0001,0.0001,0.0002
familie,16,0.0002,0.0006,0.0003,0.0001,0.0003,0.0989,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
fördern,16,0.0002,0.0006,0.0003,0.0001,0.0332,0.0001,0.0004,0.0004,0.0219,0.0002,0.0001,0.0002
kommunikation,16,0.0012,0.0006,0.0043,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0223
lernprozesse,16,0.0003,0.0006,0.0003,0.0315,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0067
weise,16,0.0002,0.0006,0.0003,0.0338,0.0003,0.0001,0.0042,0.0004,0.0001,0.0001,0.0001,0.0002
aufgabe,15,0.0002,0.0006,0.0003,0.0002,0.0003,0.098,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
bindung,15,0.0042,0.0006,0.0092,0.0001,0.0003,0.0001,0.0004,0.028,0.0001,0.0003,0.0006,0.0002
gemeinschaft,15,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0231,0.0034
person,15,0.0002,0.0006,0.0003,0.0002,0.0003,0.0001,0.0177,0.0135,0.0001,0.0059,0.0001,0.0002
veränderung,15,0.0002,0.0006,0.0052,0.0003,0.0003,0.0073,0.0004,0.0005,0.0021,0.0001,0.0001,0.0023
wichtig,15,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0156,0.0004,0.0316,0.0001,0.0001,0.0002
empathie,14,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.024,0.0002
erfassen,14,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0005,0.0001,0.0001,0.0241,0.0002
medium,14,0.0003,0.0006,0.0166,0.0001,0.0016,0.0001,0.0004,0.0005,0.0001,0.0001,0.0001,0.0082
problem,14,0.0003,0.0006,0.0003,0.0001,0.0023,0.0001,0.0004,0.0004,0.0001,0.0003,0.0001,0.0202
sinnestäuschung,14,0.0002,0.0409,0.0083,0.0001,0.0003,0.0001,0.0004,0.0005,0.0001,0.0003,0.0001,0.0008
urteil,14,0.0003,0.0006,0.0214,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.002,0.0018
vielfältig,14,0.0002,0.0006,0.0003,0.0002,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0226
vorurteil,14,0.0002,0.0006,0.0156,0.0001,0.0003,0.0001,0.0004,0.0198,0.0001,0.0007,0.0001,0.0002
wirkung,14,0.0034,0.0006,0.0204,0.0001,0.0003,0.0001,0.0004,0.0005,0.0024,0.0002,0.0001,0.0002
wunsch,14,0.0002,0.0006,0.0003,0.0002,0.002,0.0469,0.0004,0.0082,0.0001,0.0001,0.0001,0.0002
befangenheit,13,0.0002,0.0411,0.0063,0.0001,0.0003,0.0001,0.0004,0.0005,0.0001,0.0003,0.0001,0.0008
