Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
kooperation,kooperation,kooperation,jahrgangsstufe,lernen
lernende,international,kommunikation,niveaustufen,leistung
fähigkeit,politisch,bedeutung,kooperativ,kooperativ
lernen,ökonomisch,sozial,modell,individuell
rahmen,konflikt,unterschiedlich,unterricht,fördern
außerschulisch,fachkonzept,europäisch,medium,arbeitsform
angebot,konfrontation,entwickeln,einzeln,kooperation
aufgabe,beurteilen,handeln,kompetenz,unterricht
partner,gesellschaftlich,entwicklung,lernen,kommunikation
solidarität,demokratisch,gestaltung,fördern,digital
angemessen,nutzen,reflektieren,niveaustufe,fächerübergreifend
fach,sozial,chance,hierbei,dienen
möglichkeit,kooperativ,risiko,zugeordnen,einsatz
wahrnehmung,global,digital,erfordern,aktiv
gedanke,inhalt,verschieden,bieten,bewertung
interesse,wirtschaftlich,welt,individuell,selbstständig
sozial,entwicklung,lernen,lernende,teilnahme
ziel,politik,kooperativ,integrativ,einbeziehen
teamfähigkeit,außerschulisch,erläutern,unterschiedlich,ler
erreichen,lernende,fachübergreifend,unterstützen,arbeit
