topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,7,26,50,4,116,203
2,19,12,20,0,28,79
3,32,15,31,10,45,133
4,14,13,5,1,12,45
5,28,22,16,8,35,109
