subject,-1_folgen_auswirkungen_mgliche_nutzen,0_revolution_politische_folgen_auswirkungen,1_gewalt_sachverhalte_historische_folgen,2_genetische_evolution_variabilitt_fortpflanzung,3_ernhrung_wirkung_kommunikation_prvention,4_geeignete_planen_formulieren_daten,5_kraft_bewegungen_identifizieren_bewegung,6_klimawandel_klimawandels_klima_klimaschutz,7_jugendlichen_formen_kinderrechte_einfluss,8_verhalten_proximate_ultimate ursachen_ultimate,9_beurteilungskompetenz_methodenkompetenz_hyperinflation_folgen,entropy,subject_total,subject_proportion
Bio,0.1798,0.0627,0.1063,0.2807,0.1717,0.0763,0.0545,0.0109,0.0027,0.0545,0.0,2.8252,367,0.2485
"Ethik, Philo",0.2402,0.162,0.5028,0.0223,0.0503,0.0,0.0112,0.0056,0.0056,0.0,0.0,1.9139,179,0.1212
Geschichte,0.2852,0.412,0.2993,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,1.5929,284,0.1923
"Psychologie, Gesundheit",0.0476,0.2857,0.381,0.0952,0.1429,0.0476,0.0,0.0,0.0,0.0,0.0,2.1892,21,0.0142
Sozialkunde,0.2141,0.5447,0.1086,0.0064,0.0399,0.0032,0.0032,0.0272,0.0288,0.0,0.024,2.0039,626,0.4238
TOTAL,0.22,0.3494,0.1963,0.0765,0.0677,0.021,0.0162,0.0149,0.0142,0.0135,0.0102,2.561,1477,1.0
