,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id
692,"sterben Reflexionsbereiche: Metaphysik, Sprachphilosophie Suche nach einer Begriffsbestimmung in verschiedenen philosophischen Denkrichtungen: Phänomenologie Konstruktivismus Philosophieren heißt Sterben lernen der Tod als Grenze Tod und Unsterblichkeit Verfassen eines philosophischen Essays Reflexionsbereiche: Anthropologie, Metaphysik, Lebenskunst Auseinandersetzung mit Konsequenzen der zeitlichen Begrenztheit der menschlichen Existenz durch Gedankenexperimente oder literarische Essays zusätzlich für den Leistungskurs existenzialistische Betrachtungen des Todes kritische Auseinandersetzung mit Fragen von Leben",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",692
693,"Tod ca. / Unterrichtsstunden Verbindliche Inhalte Hinweise und Anregungen Zeit als grundlegende Dimension des geistigen und körperlichen Lebens begriffliche Arbeit: Zeit Erscheinungsformen von Zeit Reflexionsbereiche: Sprachphilosophie, Metaphysik, Geschichte und Gesellschaft, Anthropologie begriffliche Bestimmungen in Bezug auf die Erscheinungsformen und Erfahrung von Zeit: Zeitgefühl Zeitempfinden objektive und subjektive Zeit die Einheit der Zeit und die Vielheit der Zeiten Zeit wahrnehmen Philosophie des",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",693
694,"Gesellschaft, Sprachphilosophie, Metaphysik, Erkenntnistheorie, Lebenskunst Diskussion vertiefender weiterführender Konzepte in Abwägung weiterer Positionen: Aristoteles Immanuel Kant Friedrich Nietzsche Sren Kierkegaard Robert Spaemann Karl Jaspers Brigitte Falkenburg Dimensionen verantwortungsvollen Handelns Reflexionsbereiche: Anthropologie, Geschichte und Gesellschaft, Sprachphilosophie, Ethik, Lebenskunst Reflexion verschiedener Konzepte aus dem Bereich der angewandten Ethik und gesellschaftlichen Wirklichkeit: Wirtschaftsethik Verantwortungsethik Medienethik Religion Künstliche Intelligenz Tierethik Pädagogische Ethik Umweltethik, z. B.",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",694
695,"Freud Jean-Paul Sartre Rosa Luxemburg religiöse Ansätze BTV DRF Verantwortung begriffliche Arbeit: Verantwortung, z. B. Hans Jonas kritische Auseinandersetzung mit der Abhängigkeit der Ethik von Verantwortung, z. B. Libet-Experiment Reflexionsbereiche: Anthropologie, Ethik, Geschichte und Gesellschaft, Sprachphilosophie, Metaphysik, Erkenntnistheorie, Lebenskunst Diskussion vertiefender weiterführender Konzepte in Abwägung weiterer Positionen: Aristoteles Immanuel Kant Friedrich Nietzsche Sren Kierkegaard Robert Spaemann Karl Jaspers Brigitte Falkenburg Dimensionen",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",695
696,"Verantwortung ca. / Unterrichtsstunden Verbindliche Inhalte Hinweise und Anregungen Handlungs- und Willensfreiheit begriffliche Arbeit: Freiheit Unterscheidung von Handlungs- und Willensfreiheit Freiheit als Menschenrecht und Grundrecht Reflexionsbereiche: Geschichte und Gesellschaft, Ethik, Anthropologie, Sprachphilosophie, Metaphysik, Erkenntnistheorie Auseinandersetzung mit dem Begriff Freiheit unter Zuhilfenahme verschiedener Medien Bilder, Karikaturen, Videoclips Erarbeitung unterschiedlicher Konzepte zur Handlungs- und Willensfreiheit: Platon Aristoteles John Stuart Mill Immanuel Kant David",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",696
697,"Fragen nach dem: Anteil der Sinnlichkeit an unseren Erfahrungen Status und Wert des vom Menschen Gestalteten Kunst Erhabenen - zwischen Grenzerfahrung und Größenwahn Untersuchen der Frage: Was ist Kunst Reflexionsbereiche: Anthropologie, Geschichte und Gesellschaft, Ethik, Lebenskunst Thematisieren des Wesens der Kunst: ein Versuch, eine Fertigkeit, eine Darstellung, ein bestimmter Ausdruck in der Zugehörigkeit zu einer Kunst-Welt Siri Hustvedt - Essays zusätzlich",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",697
698,"Gefallen Immanuel Kant Erscheinen der Kunst - G. W. F. Hegel Thematisierung von Gegenbegriffen: das Hässliche das Schönheitswidrige zusätzlich für den Leistungskurs Debattieren von Fragen der Ästhetik als Menschheitsfragen Reflexionsbereiche: Anthropologie, Geschichte und Gesellschaft, Sprachphilosophie, Ethik, Lebenskunst Suchen nach Antworten auf Fragen nach dem: Anteil der Sinnlichkeit an unseren Erfahrungen Status und Wert des vom Menschen Gestalteten Kunst Erhabenen - zwischen",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",698
699,"sogenannte Böse Friedrich Nietzsche: Genealogie der Moral Märchen Deutsch Natur - Kultur - Technik ca. / Unterrichtsstunden Verbindliche Inhalte Hinweise und Anregungen Natur und Technik Begriffsbestimmungen: Natur, Technik Reflexionsbereiche: Ethik, Anthropologie, Geschichte und Gesellschaft, Sprachphilosophie, Metaphysik, Erkenntnistheorie, Lebenskunst Thematisieren der Natur als Gegenstand der Erfahrungswissenschaften: Analyse der Methodik und gesellschaftlichen Wirkungen naturwissenschaftlicher Erkenntnis Reflexion auf Grenzen naturwissenschaftlicher Erkenntnis sowie auf nichtnaturwissenschaftliche",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",699
700,"Auszüge aus z. B. Leviathan - Thomas Hobbes Diskurs über die Ungleichheit - JeanJacques Rousseau Der Fürst - Niccol Machiavelli Chantal Mouffe - Über das Politische Reflexionsbereiche: Geschichte und Gesellschaft, Anthropologie Veranschaulichung der gegensätzlichen Pole der Weltordnung am Beispiel der Staatsphilosophie und politischen Philosophie Judith Butler, Birgit Sauer, Martha C. Nussbaum, Rosa Luxemburg, Seyla Ben Habib, Karl Marx, Carl Schmitt, Jean",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",700
701,"und Geschichte Kritik der Geschichte Utopie - das Ende der Geschichte BNE Das Schöne ca. / Unterrichtsstunden Verbindliche Inhalte Hinweise und Anregungen das Schöne Begriffsbestimmung: schön, das Schöne Reflexionsbereiche: Ethik, Anthropologie, Sprachphilosophie, Metaphysik Heranführen an den vielfältigen Gebrauch und Wandel des Begriffes, Abhängigkeit von Wertvorstellungen und Konventionen BTV Diskussion der verschiedenen Aspekte des Schönen das ideale, reale, subjektive, historisierende, objektive, existentielle,",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",701
702,"Lebensmodus Leben im Absurden Existenz und Tod zusätzlich für den Leistungskurs Geschichte und Politische Bildung Sinn und Ziel der Geschichte kritische Auseinandersetzung mit Fragen nach der Beschäftigung mit Geschichte Reflexionsbereiche: Anthropologie, Geschichte und Gesellschaft, Metaphysik Reflexion verschiedener Aspekte: Geschichte sammelt nur Fakten und Fiktionen Vernunft und Geschichte Das Individuum in der Weltgeschichte Literatur und Geschichte Kritik der Geschichte Utopie - das",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",702
