Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
sozial,motiv,lernen,politisch,lernen,sozial,sozial,wahrnehmen,tragen,mensch,entwickeln,sozial,politisch,sozial,angst,toleranz,ree,sozial,sozial,frage
meinung,insbesondere,beitrag,grenze,beitrag,wert,entwicklung,motiv,toleranz,handeln,position,perspektive,demokratisch,nehmen,moralisch,medium,perspektivwechsel,respekt,nehmen,problem
nehmen,entwickeln,position,toleranz,setzen,position,wahlbereich,sozial,fördern,moralisch,perspektivwechsel,haltung,entwickeln,unterschiedlich,gefühl,verantwortungsbereitschaft,konfliktlösung,toleranz,sozialkompetenz,kulturell
handeln,folge,auseinander,folge,perspektivwechsel,gesellschaftlich,perspektivwechsel,stehen,bereitschaft,pflicht,demokratisch,miteinander,fähigkeit,meinung,emotion,grenze,rek,verhalten,perspektivenübernahme,sozial
erfassen,miteinander,setzen,motiv,geschichte,stehen,medium,gewinnen,gesellschaft,unterschiedlich,grundordnung,ermöglichen,zentral,gemeinschaft,lieb,kultur,rolle,konflikt,handeln,perspektivenübernahme
überzeugung,anwenden,leisten,perspektivwechsel,fähigkeit,nehmen,verantwortung,akzeptieren,politik,wissen,freiheitlich,handeln,grundordnung,realität,geschichte,auseinandersetzung,historisch,mensch,gruppe,konflikt
stellenwert,vorstellung,fähigkeit,ökonomisch,position,hinterfragen,rolle,wert,fähigkeit,umwelt,wert,einnehmen,toleranz,verhaltensweise,grenze,lösungsvorschlag,gewinnen,erfolgreich,verhaltensweise,stehen
beziehung,perspektivenübernahme,perspektivwechsel,positionieren,moral,wissen,international,politik,entwickeln,folge,alltag,kritisch,freiheitlich,anteil,rolle,organisation,situation,fachlich,anteil,sachverhalt
sozialkompetenz,kritisch,einsetzen,hilfe,mensch,verstehen,nachhaltig,meinung,erwerben,einsicht,erfahrung,toleranz,begriff,konzentrationsbereitschaft,handeln,auseinander,grenze,fähigkeit,wahrnehmungsfähigkeit,steigern
bedürfnis,fremd,unterschiedlich,möglichkeit,fördern,tolerieren,positionieren,perspektivübernahme,überzeugung,gelten,erleben,historisch,bedeutung,rücksichtnahme,moral,motiv,petz,verstehen,gesellschaft,anwenden
emotion,kultur,entwickeln,aktuell,wichtig,ermöglichen,konflikt,nachhaltig,meinung,tier,gehören,kostbarkeit,perspektivenübernahme,überzeugung,ethik,tabelle,toleranz,kooperieren,solidarität,mensch
respektieren,perspektivübernahme,interdisziplinarität,lernbereich,auseinander,identität,aktuell,ziel,kulturell,sozial,interkulturell,fairness,identität,wahrnehmungsfähigkeit,bedeutung,übernahme,ethik,konstruktiv,realität,intensiv
konzentrationsbereitschaft,interesse,umgang,entwicklung,beschäftigung,struktur,verantwortungsbereitschaft,auseinandersetzung,gesellschaftlich,nehmen,handeln,austrag,perspektivwechsel,emotion,politisch,bedeutung,zivilcourage,überfachlich,überzeugung,altern
geschichte,fördern,arbeit,nachhaltig,kultur,person,sinn,verschieden,konstruktiv,solidarität,kritisch,kooperier,verantwortungsbereitschaft,erfassen,aspekt,ziel,mediationsverfahr,rahmenplän,interaktionspartner,alt
gesellschaft,rolle,sowohl,unterschiedlich,alltag,rolle,gesellschaftswissenschaftlich,lernbereich,verantwortung,respekt,sowohl,praktizieren,konflikt,versetzen,wichtig,struktur,übernahme,nachfolgend,respektieren,zukunft
moral,alltag,einnehmen,umwelt,verantwortungsbewusst,toleranz,insbesondere,phänomen,akzeptieren,kommunikation,einnehmen,zeichensystemen,gesellschaftlich,interpretation,wert,lernbereich,motivation,genannt,emotion,leisten
interaktionspartner,sinn,phänomen,konflikt,umgang,zusammenleben,tragen,einsetzen,vorstellung,fachlich,insbesondere,zentral,position,beziehung,fähigkeit,geschichte,aufmerksamkeit,zählen,meinung,moralisch
realität,sachverhalt,wertvorstellung,mobbing,mehrperspektivisch,auseinandersetzung,kulturell,perspektivwechsel,problem,genannt,toleranz,möglichkeit,wertvorstellung,lage,interesse,hilfe,kultur,angemessen,interpretation,gefühl
solidarität,begriff,vielschichtig,fiktiv,begegnen,ziel,demokratisch,unterschiedlich,unterschiedlich,rücksichtnahme,auseinander,beziehen,bereitschaft,partner,möglichkeit,möglichkeit,hinsehen,lösen,gemeinschaft,aufmerksamkeit
gruppe,interessenausgleich,problem,motivation,realistisch,frage,gesellschaft,verantwortung,konfliktlösung,jahrgangsübergreifend,wertvorstellung,einmischen,gesellschaft,solidarität,hilfe,rahmen,individuell,umgehen,beziehung,interpretation
