Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
wert,wert,wert,wert,wert,wert,wert
moralisch,werturteil,regel,moralisch,formulieren,handeln,politisch
gesellschaftlich,form,verschieden,handeln,verwendung,leben,sozial
ethisch,historisch,familie,inhaltsbezogen,aufgabe,moralisch,gesellschaftlich
ethik,menschenrecht,gesetz,methodischdidaktisch,iii,mensch,europäisch
entscheidung,überprüfen,technisch,ethik,wesentlich,sinn,wertvorstellung
frage,regel,deutschland,kerncurriculum,schuljahrgänge,ethik,lernen
begründen,international,bestimmt,situation,wobei,gewissen,religiös
gesellschaft,frage,möglichkeit,genannt,niedersächsischen,ethisch,aufgabe
argument,kriterium,bedeutung,moralische,ökonomisch,religiös,historisch
aussage,gewalt,bereich,bewertungskriterie,schulgesetz,welt,religion
handlung,gegenwärtig,sozial,bewertungsrelevant,leistungsbewertung,unterschiedlich,verlangen
kriterium,berücksichtigung,zusammenleben,miteinander,wertvorstellung,wichtig,weltanschaulich
entwicklung,geltend,demokratie,hannover,sachverhalt,bedeutung,reflexion
bedeutung,zusammenleben,sicherheit,entscheidung,leistungsfeststellung,bne,wirtschaftlich
relevant,umwelt,ritual,sachverhalte,anhang,verantwortung,verstehen
verschieden,sachurteil,wenden,unterrichtsfach,anspruch,gerechtigkeit,grundgesetz
religion,berücksichtigen,beziehungsweise,definieren,explizit,freiheit,ökonomisch
sozial,nehmen,gebot,grenze,schriftlich,jugendliche,demokratisch
gerechtigkeit,mobbing,gelten,wichtig,strukturieren,gesellschaftlich,aufbauend
