Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
gesellschaft,umgang,wahrnehmung,fähigkeit,wissen,politisch,entwickeln,verstehen,stehen,politisch,politisch,unterschiedlich,europäisch,handeln,empathie,global,lernen,politisch,naturwissenschaftlich,themenfeld
rollenspiel,sozialkompetenz,lage,setzen,voraussetzung,sinn,toleranz,beziehung,auseinandersetzung,historisch,sozial,naturwissenschaftlich,historisch,mensch,medium,betrachten,unterschiedlich,leben,zuhören,umgang
welt,führen,fähigkeit,kulturell,lernprozesse,gestalten,miteinander,wert,urteil,möglichkeit,sinn,sichtweise,thema,situation,wahlbereich,kulturell,fremdsprachlich,position,methode,wert
nachhaltig,interview,lernbereich,politisch,perspektive,kulturell,position,lernen,problem,wahrnehmen,vertreten,team,politisch,wahrnehmung,mensch,bne,kompetenzbereiche,sinn,aktiv,norm
leben,erschließen,sinn,inhalt,entwicklung,auseinandersetzen,verstehen,grundgesetz,sachverhalt,zusammenhang,möglichkeit,aufgabe,verhältnis,überprüfen,positionieren,inhaltlich,politik,begründen,sozialkompetenz,ermöglichen
fragestellung,vorstellung,mensch,welt,grundlegend,berücksichtigen,dialog,befähig,fordern,rolle,konflikt,arbeit,empathie,erfassen,anwenden,historisch,bereiten,verschieden,rolle,thema
entwickeln,möglichkeit,perspektive,nehmen,natur,grundrecht,reflexion,vernetzt,beitrag,vertiefen,formulieren,beitrag,geschichte,stärken,verantwortungsbereitschaft,entwicklung,inhalt,vertreten,wissen,struktur
methode,entwickeln,zunehmend,wirtschaftlich,liegen,auseinandersetzung,demokratisch,norm,voraussetzung,nutzen,auseinandersetzen,idee,unterschiedlich,handlung,aussage,sozial,verknüpfen,formulieren,debatte,handeln
vornehmen,grenze,denken,gemeinschaftsschule,reflektiert,gruppenarbeit,fachlich,leiten,fragestellung,eingeordnen,kulturell,arbeiten,nachhaltig,umgang,sozial,lernbereich,position,ziel,anwenden,entwickeln
problem,gezielt,verstehen,fremdsprache,finden,formulieren,vielfalt,zunehmend,gegenwart,welt,differenz,verschieden,perspektive,sozialkompetenz,rolle,regional,empathie,möglichkeit,unterschiedlich,toleranz
unterschiedlich,ethisch,vernetzt,gesellschaftlich,gestalten,einflussnahme,umgang,aufgabe,konzept,bieten,berücksichtigung,präsentieren,ziel,gesellschaft,kenntnis,wechselwirkung,entwickeln,wahrnehmen,vernetzt,erfahrung
lehrplan,verschieden,fördern,kommunikation,durchführen,geschlechtsspezifisch,wahrnehmung,zugehörigkeit,nehmen,englisch,einflussnahme,zuhören,idee,interesse,kontroverse,international,mensch,fremd,denken,zusammenhang
entwicklung,geschichte,bewusst,globalisiert,vornehmen,gestaltung,unterstützen,gesellschaftswissenschaftlich,wirtschaftlich,kulturell,gestaltung,interesse,positionieren,norm,international,konflikt,politisch,zusammenhang,phänomen,sprachlich
erfahrung,position,ermöglichen,begreifen,auseinandersetzen,unterschiedlich,projekt,denken,konflikt,inhaltlich,handlungsalternative,kernaussag,lernbereich,durchführen,überprüfen,aspekt,diskurs,thema,fragestellung,mensch
wertvorstellung,standpunkt,erfassen,kritisch,möglichkeit,handlungsalternative,kulturell,zugang,kritisch,sprache,geschlechtsspezifisch,fremd,entwicklung,lage,rek,ökologisch,fachsprachlich,gestaltung,entwickeln,wertvorstellung
deutung,wahrnehmung,auseinandersetzung,sprache,ethisch,differenz,multilateral,tolerieren,formulieren,faktengestützt,gruppenarbeit,verantwortung,grenze,schließlich,untersuchen,orientierungsrahme,sprachraum,fähigkeit,einnehmen,interkulturell
sozialkompetenz,hinterfragen,naturwissenschaftlich,gezielt,gezielt,berücksichtigung,kultur,überzeugung,politisch,begreifen,berücksichtigen,sachbezogen,welt,führen,information,zusätzlich,konfrontieren,gesellschaftlich,wechseln,finden
verschieden,wert,entwickeln,fachspezifisch,grenze,mensch,grenzüberschreitende,gleichermaßen,verbunden,gesellschaft,bezug,diskussion,rolle,einsicht,entwicklung,empfehlung,verständigung,angemessen,multiperspektivisch,empathie
spiegel,lernen,vornehmen,sprachlich,entwickeln,möglichkeit,gegenstand,kulturell,geeignet,multiperspektivisch,verschieden,wechseln,rollenspiel,insbesondere,sozialkompetenz,schwerpunkt,bilingualer,rolle,zusammenhang,demokratisch
vorstellung,einsetzen,sachverhalt,englisch,interview,sozial,austausch,sinn,umgang,verschieden,ökonomisch,vergleichend,wirtschaft,erfahrung,text,aufgabe,deutungsmustern,bedürfnis,ermöglichen,angemessen
