term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
wissen,13,0.0009,0.0014,0.0018,0.0001,0.1054,0.0033,0.0001,0.0003,0.0017,0.0033,0.0001,0.0003,0.0008,0.0005,0.0005,0.0002,0.0052,0.003,0.0364,0.0026
zunehmend,13,0.0009,0.0014,0.0197,0.0108,0.0014,0.0031,0.0001,0.0383,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0019,0.0027
zusammenhang,13,0.0009,0.0014,0.0016,0.0001,0.0014,0.0032,0.0001,0.0002,0.0017,0.0042,0.0001,0.008,0.0006,0.0107,0.0004,0.0002,0.0082,0.0225,0.019,0.003
angemessen,12,0.001,0.0014,0.0016,0.0001,0.0014,0.0033,0.0094,0.0004,0.0017,0.0036,0.0001,0.011,0.0006,0.0005,0.0004,0.0002,0.0001,0.0137,0.0016,0.0029
auseinandersetzen,12,0.0009,0.0014,0.0017,0.0002,0.0085,0.0063,0.0001,0.0002,0.0017,0.0036,0.0283,0.0099,0.0006,0.0005,0.0004,0.0002,0.0001,0.0008,0.0016,0.0027
beziehung,12,0.0009,0.0014,0.0018,0.0001,0.0014,0.0032,0.0001,0.0409,0.0017,0.0034,0.0001,0.0003,0.0142,0.0005,0.0004,0.0002,0.0002,0.0004,0.0018,0.0027
einflussnahme,12,0.0009,0.0014,0.0016,0.0002,0.0014,0.0062,0.0002,0.0004,0.0017,0.0038,0.0256,0.0003,0.0006,0.0005,0.0091,0.0002,0.0001,0.0113,0.0017,0.0026
fremd,12,0.0009,0.0014,0.0016,0.0002,0.0013,0.0033,0.0009,0.0002,0.0017,0.0037,0.0001,0.0195,0.0006,0.0005,0.0004,0.0002,0.0001,0.0243,0.0017,0.0026
fremdsprachlich,12,0.0009,0.0014,0.0017,0.0001,0.0014,0.0033,0.0001,0.0003,0.0017,0.0033,0.0001,0.0003,0.0006,0.0005,0.0005,0.0002,0.0307,0.0004,0.0016,0.0026
gesellschaft,12,0.0491,0.0014,0.0017,0.0001,0.0014,0.0033,0.0001,0.0002,0.0017,0.0039,0.0111,0.0003,0.0006,0.0251,0.0004,0.0002,0.0058,0.0092,0.0016,0.0027
