Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
erläutern,leben,sachverhalt,politisch,markt,historisch,fach,wirken,organismus,basiskonzept
naturwissenschaftlich,wert,wissen,sozial,konsum,kompetenz,inhaltsfelder,entwicklung,funktion,biologie
beschreiben,demokratie,naturwissenschaftlich,entwicklung,gut,darstellen,jahrgangsstufe,fachcurriculum,bewertung,kompetenz
prinzip,auseinandersetzung,fachlich,ökonomisch,bezug,unterricht,bildungsstandard,fach,struktur,inhalt
sachkompetenz,verschieden,zusammenhang,politik,geld,gestaltung,kompetenzbereiche,entwickeln,kommunikation,begriff
auswählen,rolle,problem,europa,beitragen,entwicklung,lernzeitbezogene,fächerübergreifend,ökologisch,fach
theorie,norm,kontext,international,vorstellung,erläutern,kompetenz,fachbezogen,erklären,struktur
kompetenz,medium,sachverhalte,nachhaltig,bedürfnis,individuell,kompetenzerwartungen,schulintern,beschreiben,historisch
biologisch,diskutieren,kenntnis,bedeutung,einnahme,sekundarstufe,inhaltliche,verhältnis,untersuchung,verbindlich
fach,einerseits,sachverhalten,wirtschaftlich,bleiben,fachanforderung,grundlage,gesellschaft,fachlich,grundlegend
sachverhalte,andererseits,phänomen,global,kosten,planung,perspektive,medium,zusammenhang,kerncurriculum
erklären,demokratisch,aspekt,europäisch,finanziell,aufgabe,fachlich,zusammenhang,information,inhaltsfelder
fähigkeit,geeignet,verknüpfen,aktuell,allgemeinbildung,tabelle,struktur,greifen,experiment,unterricht
verfahren,verfahren,begründet,staat,system,form,beschreibung,erforderlich,zelle,chemie
übergeordnet,hierbei,verschieden,beurteilen,exemplarisch,kompetenzorientiert,bildung,stimmen,psychologisch,zentral
inhalt,prozeß,erkennen,handeln,zentral,ziel,kompetenzbereichen,einsatz,ökosystem,funktion
unterscheiden,mensch,erschließen,unterricht,bildung,vorgabe,primarstuf,erstellung,wechselwirkung,inhaltliche
inhaltlich,lernen,aufgabe,frieden,lehrplan,aufbau,sachverhalten,mediencurriculum,begründen,zusammenhang
nutzen,kooperation,beschreiben,folge,sinn,gymnasial,kompetenzentwicklung,ethik,nutzung,physik
bezug,fachlich,iii,unterschiedlich,fach,überfachliche,abschluss,förderkonzept,entwickeln,geschichte
