Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
politisch,politisch,entscheidung,sinnvorstellung,position
entwickeln,sozial,position,frage,unterricht
urteilsfähigkeit,ökonomisch,mensch,rationalität,fähigkeit
ökonomisch,handeln,rationalität,reflektieren,element
gesellschaftlich,urteil,unterricht,prüfen,berücksichtigen
interesse,analysieren,diskurse,person,politisch
vertreten,perspektive,kritisch,beschreiben,grundlage
demokratisch,beurteilen,philosophisch,toleranz,mensch
reflektieren,naturwissenschaftlich,rahmen,unterscheiden,welt
grundlage,wissen,philosophie,stellen,prozeß
begründeter,wissenschaftlich,menschlich,deutungsmuster,wesentlich
maßstab,gesellschaftlich,vertreten,lernende,technik
fähigkeit,lassen,religion,aufgabe,wissenschaft
entscheidung,möglichkeit,entscheiden,meinung,ethisch
wertbezogen,ermöglichen,perspektive,vernunft,bereitschaft
denkweise,welt,argumentativ,kriteriengeleiten,fakt
wirtschaftlich,psychologisch,wirtschaft,begründung,kriterium
medium,fähigkeit,problem,verschieden,auszutrag
toleranz,methode,wesentlich,philosophisch,legitim
reflektiert,situation,gesellschaft,vergleich,erfolgen
