term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
politisch,114,0.0003,0.0611,0.0494,0.0003,0.0088
fähigkeit,68,0.0061,0.0226,0.0002,0.014,0.0142
vertreten,62,0.0109,0.0112,0.0205,0.0102,0.0002
entwickeln,60,0.0061,0.0493,0.0002,0.005,0.003
mensch,60,0.0177,0.0097,0.0101,0.0166,0.007
gesellschaftlich,55,0.0003,0.029,0.008,0.0074,0.0123
position,55,0.0282,0.0065,0.0016,0.0144,0.0003
entscheidung,54,0.007,0.0001,0.0418,0.0003,0.0082
ökonomisch,48,0.0003,0.0327,0.0161,0.0003,0.0193
welt,47,0.0267,0.0001,0.0003,0.0003,0.0097
sozial,46,0.0003,0.0024,0.0164,0.0033,0.0229
frage,40,0.0044,0.0001,0.0074,0.019,0.0027
wirtschaftlich,39,0.0003,0.0025,0.0177,0.0003,0.0118
urteil,38,0.0075,0.0024,0.0178,0.0105,0.0011
handeln,35,0.0012,0.0027,0.0002,0.0024,0.0214
formulieren,34,0.006,0.0001,0.019,0.0003,0.0002
sinn,34,0.0003,0.0025,0.0177,0.0003,0.0038
reflektiert,33,0.0022,0.0001,0.0278,0.0003,0.0002
naturwissenschaftlich,32,0.0003,0.0001,0.0002,0.0003,0.0175
rahmen,32,0.0146,0.008,0.0002,0.0094,0.0005
selbstständig,32,0.0009,0.0009,0.0198,0.0003,0.0003
ökologie,32,0.0003,0.0001,0.0219,0.0003,0.0002
demokratisch,31,0.0003,0.0264,0.0002,0.0048,0.0002
gesellschaft,31,0.0073,0.0051,0.0002,0.0036,0.0116
interesse,31,0.0003,0.0327,0.0038,0.0003,0.004
kriterium,31,0.0003,0.0055,0.0179,0.0003,0.0004
perspektive,31,0.0159,0.0001,0.0003,0.0004,0.0155
ökonomie,31,0.005,0.0001,0.0179,0.0003,0.0002
philosophisch,30,0.0248,0.0001,0.0003,0.0004,0.0016
ethisch,29,0.0003,0.0001,0.0006,0.0165,0.0114
human,29,0.0005,0.0001,0.0003,0.0275,0.0002
problem,28,0.0169,0.0001,0.0026,0.0017,0.0028
sinnvorstellung,28,0.0003,0.0001,0.0192,0.0003,0.0002
wissenschaftlich,28,0.0093,0.0001,0.0003,0.0003,0.0099
urteilsfähigkeit,26,0.0003,0.041,0.0002,0.0003,0.0002
erkenntnis,25,0.0141,0.0001,0.0002,0.0003,0.0057
nennen,24,0.0003,0.0001,0.0199,0.0003,0.0002
toleranz,24,0.0003,0.0167,0.0002,0.0085,0.0002
verstehen,24,0.0003,0.0001,0.0002,0.0128,0.0087
bereitschaft,23,0.0003,0.0086,0.0002,0.0123,0.0013
spannungsverhältnis,23,0.0003,0.0001,0.0159,0.0003,0.0002
umsetzungsmöglichkeit,23,0.0003,0.0001,0.0159,0.0003,0.0002
verschieden,23,0.0003,0.0003,0.0181,0.013,0.0013
wissenschaft,23,0.0203,0.0023,0.0002,0.0003,0.0002
auseinandersetzung,22,0.0127,0.0001,0.0032,0.0004,0.0023
ermöglichen,22,0.0003,0.0001,0.0003,0.0003,0.0119
methode,21,0.0012,0.0003,0.0017,0.0003,0.0094
setzen,21,0.0003,0.0001,0.0002,0.0118,0.005
bedingung,20,0.0121,0.0001,0.0049,0.0003,0.0003
möglichkeit,20,0.0003,0.0051,0.0169,0.0061,0.0002
philosophie,20,0.0083,0.0001,0.0002,0.0111,0.0002
politik,20,0.005,0.0012,0.0002,0.0003,0.0119
diskurs,19,0.0003,0.0001,0.0002,0.0183,0.0002
diskurse,19,0.0137,0.0001,0.0012,0.0028,0.0002
medium,19,0.0003,0.016,0.0009,0.0049,0.0002
psychologisch,19,0.006,0.0001,0.0002,0.0003,0.0098
technik,19,0.0139,0.0001,0.0002,0.0003,0.0023
religion,18,0.0164,0.0001,0.0004,0.0004,0.0002
analyse,17,0.0022,0.0133,0.0042,0.0003,0.0017
begründeter,17,0.0003,0.0229,0.0002,0.0003,0.0003
form,17,0.001,0.0015,0.0004,0.0117,0.0003
überzeugung,17,0.0004,0.0001,0.0002,0.0162,0.0002
konflikt,16,0.0003,0.0137,0.0003,0.0003,0.0021
maßstab,16,0.0003,0.0226,0.0002,0.0003,0.0002
situation,16,0.0005,0.0095,0.0002,0.0003,0.0109
moralisch,15,0.0003,0.0001,0.0003,0.0143,0.0002
erfassen,14,0.0003,0.0023,0.0002,0.0121,0.0006
identität,14,0.0003,0.0001,0.0002,0.0136,0.0002
wertbezogen,14,0.0003,0.0219,0.0002,0.0003,0.0002
menschlich,13,0.0122,0.0001,0.0004,0.0003,0.0002
religiös,13,0.011,0.0001,0.0002,0.0014,0.0002
rolle,13,0.0003,0.0124,0.0002,0.0003,0.0052
verhalten,13,0.0003,0.0097,0.0002,0.0003,0.0118
freiheitlichdemokratisch,12,0.0003,0.0001,0.0002,0.0116,0.0002
grund,12,0.0103,0.0001,0.0002,0.0012,0.0002
lassen,12,0.0003,0.0001,0.0002,0.0003,0.0119
denkweise,11,0.0003,0.0189,0.0002,0.0003,0.0002
digital,11,0.0003,0.0152,0.0002,0.0003,0.0002
geltungsansprüch,11,0.0103,0.0001,0.0002,0.0003,0.0002
stellung,11,0.0103,0.0001,0.0002,0.0003,0.0002
sachverhalt,10,0.0003,0.0122,0.0046,0.0003,0.0005
blick,6,0.0003,0.0001,0.0002,0.0003,0.0112
schemata,6,0.0003,0.0133,0.0002,0.0003,0.0002
