,text_excerpt,state,school type,grade,year,subject,doc_id
28036,"Schüler ... benennen verschiedene Regeln, Normen und Rituale sowie deren Bedeutung für das Zusammenleben. Regeln und Normen in Klasse, Familie, Freundeskreis, Verein Sicherheit, Verlässlichkeit, Einschränkung Gedankenexperiment: Welt ohne Regeln und Normen erläutern die Werte, die bestimmten Regeln und Normen zugrunde liegen z. B. Ehrlichkeit, Höflichkeit, Achtsamkeit, Geselligkeit vergleichen Regeln und Rituale in verschiedenen Kontexten. Schulregeln in verschiedenen kulturellen und historischen Kontexten",Niedersachsen,Gesamtschule,,2017,"Ethik, Philo",28036
28037,"Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ... benennen verschiedene Regeln, Normen und Rituale sowie deren Bedeutung für das Zusammenleben. Regeln und Normen in Klasse, Familie, Freundeskreis, Verein Sicherheit, Verlässlichkeit, Einschränkung Gedankenexperiment: Welt ohne Regeln und Normen erläutern die Werte, die bestimmten Regeln und Normen zugrunde liegen z. B. Ehrlichkeit, Höflichkeit, Achtsamkeit, Geselligkeit",Niedersachsen,Gesamtschule,,2017,"Ethik, Philo",28037
28038,"Schüler ... reflektieren eigene politische Vorerfahrungen sowie Grundhaltungen und erkennen so das Vorhandensein des Politischen in vielen Lebensbereichen. erschließen z. B. mithilfe des Inselspiels die Notwendigkeit von gemeinsamen Werten und Normen für das Zusammenleben von Menschen, um den Stellenwert der Grundrechte in einer demokratischen Gesellschaft zu erkennen. begreifen an aktuellen Beispielen die Achtung der Menschenwürde z. B. Umgang mit konträren Meinungen",Bayern,Gym,10,2023,Sozialkunde,28038
28039,"auf ein friedliches Miteinander. Beitrag des Faches zu den Leitperspektiven Bildung für nachhaltige Entwicklung BNE Die Schülerinnen und Schüler setzen sich im Psychologieunterricht damit auseinander, welche Auswirkungen gruppendynamische Prozesse auf Normen und Werte haben können. Sie lernen, Kommunikationstheorien anzuwenden, wertschätzend zu kommunizieren und mit Konflikten konstruktiv umzugehen. Diese erworbenen Kenntnisse und Kompetenzen sind eine Basis, auf der sie gesellschaftliche Teilhabe gestalten,",BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",28039
28040,"Kompetenzbereich: Fragen nach Moral und Ethik Leitthema: Regeln für das Zusammenleben Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ... benennen verschiedene Regeln, Normen und Rituale sowie deren Bedeutung für das Zusammenleben. Regeln und Normen in Klasse, Familie, Freundeskreis, Verein Sicherheit, Verlässlichkeit, Einschränkung Gedankenexperiment: Welt ohne Regeln und Normen erläutern die Werte, die bestimmten",Niedersachsen,Gesamtschule,,2017,"Ethik, Philo",28040
28041,"Intention Als Menschen müssen wir Handlungsentscheidungen treffen. Wir erfahren dabei Freiheit. Da der Mensch instinkthaft nicht festgelegt ist, orientieren sich seine Entscheidungen an unterschiedlichen Gesichtspunkten, so auch an Regeln und Normen, die wiederum von anerkannten Werten getragen werden. In der und Klassenstufe ist die Reichweite der Handlungen meist noch auf das nähere Umfeld beschränkt. Es geht um die Gestaltung der eigenen",Rheinland-Pfalz,,Sek1,2021,"Ethik, Philo",28041
28042,"mit Störungsbildern, deren Ursachen und Behandlungsmöglichkeiten auseinander und lernen Aspekte der Gesundheitsvorsorge kennen. Die Schülerinnen und Schüler können den Begriff psychische Störung anhand typischer Kriterien beschreiben und das Spannungsfeld von Norm und Abweichung diskutieren zum Beispiel Gefahr von Stigmatisierung Analyse- und Methodenkompetenz Reflexions- und Urteilskompetenz BTV Formen von Vorurteilen, Stereotypen, Klischees; Personale und gesellschaftliche Vielfalt; Toleranz, Solidarität, Inklusion, Antidiskriminierung Leitsymptome von",BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",28042
28043,"- ethische Fragestellungen im Umgang mit der Zeit und deren Konsequenzen für die Lebensgestaltung erörtern, - die Auswirkungen des Effizienzmaßstabs der Ökonomie auf die Lebenswirklichkeit untersuchen, - Veränderungen von Traditionen, Normen und Werten in unserer Geschichte erschließen, - den Tod als Wesensmerkmal des Lebens analysieren, - den Umgang unserer Gesellschaft mit Sterben und Tod beschreiben, - sich mit ethischen Fragen der",Thüringen,Regelschule,,2012,"Ethik, Philo",28043
28044,"Schüler im Ethikunterricht nicht nur verstehen sollen, welche Werte und Normen gelten und warum sie gelten, sondern auch lernen, dass für ein gelingendes Leben das Engagement für diese Werte und Normen notwendig ist. Die Beschäftigung mit der Sinnfrage bezüglich der Motivation für ein an Werten orientiertes Leben hat deshalb im Ethikunterricht einen besonders hohen Stellenwert. Die prozessbezogenen Kompetenzen, die in Ethik",Bayern,Gym,6,,"Ethik, Philo",28044
28045,"G o l d e n e n R e g e l herstellen, - Anteile jüdisch-christlicher Gebote, die in heutigen Wertmaßstäben aufgehoben sind, erkennen und beschreiben, - gesellschaftlich geltende Normen und Regeln mit religiösen vergleichen. Methodenkompetenz Der Schüler kann - wichtige Begriffe richtig verwenden, - in der Bibel in Ansätzen recherchieren, - ethische Grundaussagen erkennen und vergleichen. Selbst- und Sozialkompetenz",Thüringen,Regelschule,,2012,"Ethik, Philo",28045
28046,"Zusammenstellung dar, da auch verschiedene andere Themenfelder oder Themen Möglichkeiten der Verknüpfung mit Querschnittsthemen bieten. Querschnittsthema Bezugsthemenfelder Demokratiebildung Fragen nach dem guten Handeln, bes. III Regeln, Zusammenleben; -Gerechtes Handeln, Werte, Normen; Recht, Gerechtigkeit, Moral; -Fragen nach dem Sinn II, / Weltbilder, Kulturen, Religionen Darüber hinaus: Diskursives Arbeiten in allen Themenfeldern. Gewaltprävention Frage nach dem guten Handeln II, / und / Medienkompetenz",Rheinland-Pfalz,,Sek1,2021,"Ethik, Philo",28046
28047,"bes. / Leben, Sinn, Arbeit Sexualerziehung Geschlechterspezifische Erziehung Fragen nach dem Menschen I, bes. / Selbst, Identität, Geschlecht; auch: Fragen nach dem guten Handeln III, bes. / Gerechtes Handeln, Werte, Normen Gesundheitsförderung möglich in: Fragen nach dem guten Handeln I, / Entscheiden, Handeln; Fragen nach dem Sinn II, / Leben, Sinn, Arbeit; Fragen nach dem -Menschen II, / Umwelt, Konsum, Lebensstil",Rheinland-Pfalz,,Sek1,2021,"Ethik, Philo",28047
28048,"möglich ist Gibt es Handlungen, die unter allen Umständen verboten sein sollten Wo entscheiden Menschen über andere Menschen Woher weiß man, was für andere gut ist Wer vermittelt Regeln oder Normen für das Alltagsleben Wie kommt man in einer Gruppe zu einer Entscheidung wahrnehmen analysieren reflektieren argumentieren beurteilen Fachdidaktische Intention In einem Alter, in dem Schülerinnen und Schüler die und Klassenstufe",Rheinland-Pfalz,,Sek1,2021,"Ethik, Philo",28048
28049,"Fragen nach dem guten Handeln II /: Konflikte, Streit, Schlichtung /: Aggression, Gewalt, Konfliktlösung /: Krieg, Frieden Fragen nach dem guten Handeln III /: Regeln, Zusammenleben /: Gerechtes Handeln, Werte, Normen /: Recht, Gerechtigkeit, Moral Fragen nach dem Sinn I /: Erzählungen, Mythen, Religion /: Symbole, Rituale, Transzendenz /: Weltbilder, Religionen, Kulturen Fragen nach dem Sinn II /: Heimat, Fremde /:",Rheinland-Pfalz,,Sek1,2021,"Ethik, Philo",28049
28050,"begreifen und Maßstäbe für das eigene Handeln kennen und reflektieren können, - die eigenen und andere kulturelle Dimensionen als solche erkennen und darin Gemeinsames und Trennendes erfassen können, - eigene Normen in Frage stellen und andere Elemente integrieren können, - Klischees von fremden Kulturen aufbrechen können und eine Bewertung von Kulturen vermeiden, - Irritationen zulassen, Zweifel und interkulturelle Konflikte, Spannungen und",MeckPomm,,1-13,2002,"Psychologie, Gesundheit",28050
28051,"korrespondiert. Mit den Themen dieses Moduls kann ein Beitrag zur Werteerziehung im Sinne von Toleranz und konstruktivem Miteinander geleistet werden. Zugleich bieten die Themen auch Gelegenheit zur Auseinandersetzung mit rechtsstaatlichen Normen. W BNE Mat Ges Geo A A A U U H H H H Ökonomisches Denken und Handeln Übergreifend Inhalte Fachbezogen Umsetzungshilfen Leitperspektiven Aufgabengebiete Berufsorientierung Sprachbildung Fachübergreifende Bezüge Leitgedanken Lebensnahe,",Hamburg,Stadtteilschule,5-11,2024,Sozialkunde,28051
28052,"Verständigung Handeln - Orientierung und Handlungsfähigkeit außerhalb des eigenen Sozialgefüges - Konsens für friedliches Zusammenleben finden - Konflikte nach gemeinsam gefundenen Regeln beilegen - Vielfalt bei unterschiedlichen Sachverhalten, Weltbildern, Lebensweisen, Normen und Wertsystemen respektieren und schätzen - gemeinsam Perspektiven, Projekte und Aufgaben entwikkeln - solidarische Verhaltensweisen herausbilden - für Gleichheit und gegen Ausgrenzung eintreten - Engagement bei Verständigungsprozessen zeigen Für die",MeckPomm,,1-13,2002,"Psychologie, Gesundheit",28052
28053,"Handeln geübt werden. Inhalte des interkulturellen Lernens Interkulturelle Bildung und Erziehung nutzt für die Lernprozesse einerseits das Zusammenleben von Kindern und Jugendlichen unterschiedlicher ethnischer Herkunft und unterschiedlicher kultureller Traditionen und Normen. Andererseits werden Lernsituationen geschaffen, um exemplarisch kulturelle, religiöse und ethnische Hintergründe und Bedingungen kennen zu lernen, z. B.: - wesentliche Merkmale und Entwicklungen eigener und fremder Kulturkreise, - Gemeinsamkeiten und",MeckPomm,,1-13,2002,"Psychologie, Gesundheit",28053
