term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
anforderungsbereich,55,0.0819,0.0039,0.0011,0.0355,0.0017,0.0015,0.0003,0.0007,0.0015,0.0004,0.0025,0.0052,0.0002,0.0004,0.0003,0.0005,0.0892,0.002,0.0011,0.0428
sachverhalte,41,0.0004,0.004,0.0016,0.0777,0.0017,0.0154,0.0003,0.0007,0.0015,0.0004,0.0025,0.0043,0.0253,0.0004,0.0003,0.0005,0.0301,0.0019,0.0011,0.0387
operator,39,0.0546,0.0039,0.0085,0.0087,0.0018,0.0015,0.0003,0.0007,0.0015,0.0004,0.0026,0.0047,0.0002,0.0004,0.0003,0.0006,0.0596,0.0019,0.0011,0.0387
zusammenhang,38,0.0008,0.0039,0.0256,0.0546,0.0017,0.0016,0.0003,0.0929,0.016,0.0206,0.0027,0.0039,0.0002,0.0004,0.0003,0.0056,0.0005,0.0021,0.0011,0.0079
sachverhalt,31,0.0051,0.0038,0.0167,0.0468,0.0017,0.0015,0.0003,0.0007,0.0015,0.0004,0.0264,0.0038,0.0002,0.0004,0.0003,0.0005,0.0005,0.0019,0.0011,0.0905
afb,30,0.0689,0.0038,0.0004,0.0002,0.0017,0.0014,0.0004,0.0007,0.0015,0.0004,0.0025,0.0039,0.0002,0.0004,0.0003,0.0006,0.0005,0.0019,0.0011,0.0004
reorganisation,29,0.0451,0.0039,0.0006,0.0324,0.0018,0.0014,0.0003,0.0008,0.0016,0.0004,0.0025,0.0042,0.0002,0.0004,0.0003,0.0005,0.0301,0.002,0.0011,0.0004
umfasst,29,0.0004,0.004,0.0005,0.016,0.0089,0.0015,0.0003,0.0007,0.0016,0.0004,0.0026,0.0047,0.0002,0.0108,0.0003,0.0005,0.0596,0.0019,0.0011,0.0025
inhalt,26,0.0134,0.0042,0.0004,0.019,0.0018,0.0154,0.0003,0.0007,0.0015,0.0004,0.0025,0.0044,0.0002,0.0074,0.0003,0.0351,0.0005,0.0201,0.0012,0.0004
methode,26,0.0012,0.004,0.0006,0.0248,0.0018,0.0015,0.0003,0.0247,0.0015,0.0004,0.0025,0.0037,0.0002,0.0004,0.0003,0.0157,0.0005,0.0019,0.0222,0.0004
