term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
ökologisch,98,0.0001,0.0226,0.0621,0.0001,0.0019,0.0049,0.0002,0.0004,0.0027,0.0076,0.0004,0.0004,0.0013,0.063,0.0005,0.0005,0.0001,0.0002,0.0016,0.0001
sozial,91,0.0269,0.0011,0.0001,0.0002,0.0019,0.0467,0.0395,0.0004,0.0024,0.0003,0.0211,0.0005,0.0011,0.0002,0.0004,0.0005,0.0485,0.0002,0.0016,0.0001
beziehung,74,0.0349,0.0012,0.0452,0.0002,0.0019,0.0005,0.0002,0.0004,0.003,0.0598,0.0213,0.0004,0.0013,0.0047,0.0005,0.0005,0.0007,0.0003,0.0016,0.0001
markt,66,0.0001,0.0011,0.0001,0.0001,0.0019,0.0004,0.0157,0.0004,0.0023,0.0003,0.0003,0.0005,0.0011,0.0002,0.0004,0.0006,0.0606,0.0003,0.0016,0.0001
marktwirtschaft,58,0.0001,0.0011,0.0001,0.0001,0.0019,0.0221,0.0145,0.0004,0.0023,0.0003,0.0003,0.0004,0.0011,0.0002,0.0004,0.0005,0.0454,0.0004,0.0016,0.0001
ökonomisch,58,0.1227,0.0011,0.0001,0.0002,0.0019,0.0687,0.0002,0.0004,0.0023,0.0003,0.0003,0.0006,0.0012,0.0283,0.0004,0.0006,0.0033,0.0002,0.0016,0.0619
nische,55,0.0001,0.0014,0.0301,0.0001,0.0019,0.0004,0.0002,0.0004,0.0025,0.0135,0.0004,0.0004,0.0013,0.0444,0.0004,0.0005,0.0001,0.0002,0.0016,0.0001
parasitismus,53,0.0001,0.0011,0.0386,0.0001,0.0019,0.0004,0.0002,0.0004,0.003,0.0477,0.0004,0.0004,0.0013,0.0004,0.0005,0.0005,0.0001,0.0002,0.0016,0.0001
bedeutung,48,0.0237,0.0011,0.001,0.0001,0.0019,0.0268,0.0005,0.0094,0.0024,0.0003,0.0211,0.0005,0.0012,0.0327,0.005,0.0005,0.0119,0.0002,0.0016,0.0348
international,48,0.1039,0.0011,0.0001,0.033,0.0019,0.0004,0.0083,0.0004,0.0023,0.0003,0.0003,0.0005,0.0011,0.0002,0.0004,0.0006,0.0001,0.0003,0.0017,0.0687
