term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
moralisch,1228,0.0253,0.066,0.0349,0.0009,0.0298,0.0528,0.0166
ethik,635,0.0139,0.0122,0.02,0.0146,0.018,0.0016,0.0499
moral,603,0.0102,0.0057,0.0132,0.0222,0.0187,0.0023,0.0551
ethisch,537,0.0154,0.0038,0.0238,0.0012,0.003,0.0311,0.0131
handeln,523,0.0177,0.0191,0.0161,0.018,0.0273,0.0011,0.0051
wert,511,0.0154,0.0463,0.0002,0.0138,0.0102,0.0028,0.0069
norm,509,0.014,0.0543,0.0001,0.0066,0.0182,0.0036,0.0046
mensch,422,0.0024,0.0019,0.0269,0.0216,0.0152,0.0023,0.0076
frage,316,0.0287,0.0023,0.0057,0.0,0.0072,0.0099,0.004
verantwortung,268,0.0,0.0,0.014,0.0253,0.0001,0.0,0.0042
ethischmoralisch,252,0.011,0.0,0.0027,0.0244,0.0001,0.0023,0.0002
leben,251,0.0217,0.0015,0.0006,0.008,0.0101,0.0011,0.008
kompetenz,248,0.0087,0.0063,0.0093,0.0001,0.0178,0.0018,0.0107
glück,237,0.0047,0.0,0.0,0.0165,0.0001,0.0029,0.0224
urteil,214,0.0001,0.0,0.0129,0.0,0.0001,0.0173,0.0043
grundlage,210,0.0,0.0002,0.0112,0.0167,0.0001,0.0,0.0078
handlung,210,0.0046,0.0058,0.0124,0.0,0.0001,0.011,0.0
gerechtigkeit,197,0.0001,0.0089,0.0,0.0165,0.0001,0.0,0.0101
gesellschaft,195,0.0046,0.0039,0.004,0.0151,0.0001,0.0035,0.0008
verschieden,193,0.0064,0.0,0.0006,0.0044,0.0001,0.015,0.0055
freiheit,179,0.0,0.0056,0.0071,0.0154,0.0001,0.0,0.0
regel,172,0.0173,0.007,0.0,0.0,0.0011,0.0011,0.005
reflektieren,170,0.0014,0.0002,0.0045,0.0155,0.0001,0.0042,0.0012
erläutern,161,0.0002,0.0111,0.0008,0.0046,0.0042,0.0027,0.008
perspektive,161,0.0018,0.0,0.0014,0.0,0.0001,0.0224,0.0001
welt,159,0.003,0.0009,0.0,0.02,0.0001,0.0,0.0031
begriff,158,0.0014,0.0104,0.0037,0.0005,0.0001,0.0044,0.0094
beschreiben,158,0.0,0.0079,0.0037,0.0068,0.0014,0.0056,0.0018
natur,156,0.0023,0.0,0.0001,0.0102,0.0031,0.0,0.017
relevant,152,0.002,0.0021,0.0037,0.0003,0.0038,0.0119,0.0035
prinzip,149,0.0006,0.0093,0.004,0.0,0.0001,0.0101,0.0
argumentieren,140,0.0006,0.0001,0.0037,0.0129,0.0001,0.0043,0.0
diskutieren,138,0.0,0.0042,0.0016,0.0082,0.0062,0.0006,0.0082
position,137,0.0,0.0,0.0065,0.0008,0.0001,0.0093,0.0061
konflikt,134,0.0002,0.0,0.0,0.0054,0.0074,0.0115,0.0011
entwickeln,119,0.0077,0.0,0.0,0.0,0.0001,0.0119,0.0
begründen,118,0.0045,0.0,0.0009,0.0017,0.0001,0.0121,0.0
zusammenleben,115,0.0015,0.0037,0.0,0.0132,0.0001,0.0,0.0
religion,114,0.0,0.0,0.0,0.0177,0.0001,0.0,0.0
philosophisch,112,0.0008,0.0001,0.004,0.004,0.0001,0.0081,0.0001
argumentation,109,0.0,0.0,0.001,0.0,0.0001,0.0153,0.0
wahrnehmen,108,0.0,0.0019,0.0013,0.014,0.0001,0.0,0.0
ethikunterricht,105,0.0177,0.0,0.0,0.0002,0.0001,0.0,0.0
gewissen,102,0.0,0.0182,0.0,0.0,0.0001,0.0,0.0
möglich,99,0.0024,0.0038,0.0,0.0,0.0073,0.0027,0.007
bewerten,95,0.0001,0.0,0.0023,0.001,0.0011,0.0111,0.0
sozial,93,0.0013,0.0036,0.0037,0.0016,0.0001,0.0001,0.0084
vernunft,90,0.0,0.0119,0.0003,0.003,0.0001,0.0,0.0
normativ,89,0.0,0.0,0.0122,0.0,0.0001,0.0,0.0026
unterscheiden,85,0.0,0.0094,0.0,0.0,0.0001,0.0,0.0086
thema,83,0.009,0.0,0.0005,0.0,0.0001,0.0042,0.0008
gut,81,0.0072,0.0069,0.0,0.0,0.0001,0.0001,0.0001
interpretieren,81,0.0,0.0,0.0,0.0105,0.0032,0.0008,0.0
wertvorstellung,78,0.0,0.0002,0.0,0.0,0.0001,0.012,0.0
