topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,2,119,3,0,19,143
2,11,135,18,0,101,265
3,21,90,11,3,19,144
4,2,294,13,1,25,335
5,7,188,22,4,235,456
