Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
bedeutung,medium,wert,freiheit,sozial
wert,perspektive,regel,ethik,politisch
handeln,handeln,anspruch,mensch,gesellschaft
verantwortung,kommunikation,leistung,verantwortung,gesellschaftlich
leben,frage,unterschiedlich,welt,inhalt
familie,wert,norm,zusammenleben,deutschland
unterschiedlich,sinn,verschieden,gesellschaft,demokratie
freiheit,konflikt,einzeln,frage,sozialstaat
verschieden,politisch,miteinander,handeln,wirtschaftlich
form,wirklichkeit,afb,religion,herausforderung
ungerechtigkeit,möglichkeit,problematisieren,iii,entwicklung
hinblick,welt,bedürfnis,wahrnehmen,marktwirtschaft
menschenrecht,menschenrecht,verantwortung,moral,ökonomisch
beziehen,politik,leisten,interpretieren,ziel
achtung,moralisch,interesse,strafe,nachhaltig
toleranz,jugendliche,anforderung,begriff,beitrag
partizipation,demokratisch,leben,verschieden,fachübergreifend
chance,norm,freundschaft,position,frage
grundlegend,rechtlich,struktur,gesellschaftlich,europäisch
kategorie,gestalten,anwenden,natur,problem
