term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
griechisch,98,0.0,0.0144,0.0,0.0001,0.0,0.0,0.0187,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0002
politik,98,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0038,0.0001,0.0001,0.0,0.0099,0.0039,0.0,0.0127,0.0
ziel,98,0.0061,0.0,0.0,0.0001,0.0089,0.0096,0.0,0.0001,0.0001,0.0,0.0,0.005,0.0152,0.0,0.0
entwickeln,98,0.0027,0.0007,0.0,0.0001,0.0122,0.0,0.0012,0.0001,0.0001,0.0,0.0,0.0041,0.0,0.0058,0.001
technik,98,0.0007,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0126,0.0,0.0025,0.0032,0.0,0.0032,0.0087
medium,97,0.0052,0.0,0.003,0.0001,0.0,0.0,0.0052,0.0001,0.0001,0.0005,0.0,0.0096,0.0,0.0076,0.0017
zusammenhang,97,0.001,0.0,0.0048,0.0001,0.0,0.0,0.0,0.0001,0.0056,0.0,0.0,0.0,0.0,0.0184,0.0
revolution,97,0.0106,0.0,0.0,0.0001,0.0,0.0017,0.0,0.0001,0.0001,0.0393,0.0,0.0,0.0,0.002,0.0
demokratisch,96,0.0,0.0,0.0,0.0001,0.012,0.0,0.0037,0.0001,0.0001,0.0,0.0074,0.0,0.0,0.0101,0.0
dimension,94,0.0291,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0049,0.0006
ethisch,90,0.0005,0.0,0.0083,0.015,0.0,0.0,0.0043,0.0027,0.0001,0.0,0.0,0.0053,0.0076,0.0001,0.0034
sprache,89,0.0,0.003,0.0,0.0001,0.0,0.013,0.0,0.0001,0.0001,0.0,0.0057,0.0,0.0,0.0032,0.003
form,89,0.0,0.0028,0.007,0.0091,0.003,0.0,0.0,0.0001,0.0001,0.0127,0.0023,0.0,0.0107,0.0,0.0
menschlich,88,0.0006,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0046,0.0123
umgang,88,0.0052,0.0005,0.0,0.0001,0.0028,0.0,0.0,0.0001,0.0141,0.0001,0.0015,0.0075,0.0,0.0,0.0036
mitin,86,0.0,0.0,0.0074,0.055,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0033
orientierung,86,0.0,0.002,0.0,0.0001,0.0131,0.0,0.0,0.0118,0.0001,0.0095,0.0,0.0,0.0,0.0,0.0017
republik,86,0.0,0.0,0.0,0.0001,0.0,0.036,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
alltag,85,0.0004,0.002,0.0053,0.0001,0.0,0.0,0.0173,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0076
islam,85,0.0,0.0124,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0036,0.0,0.0,0.0022
antike,84,0.0,0.0159,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0018,0.0,0.0,0.0008
bereich,84,0.0,0.0,0.0027,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0012,0.0021,0.0,0.0159,0.0
kontext,84,0.0,0.0,0.0044,0.0351,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0073,0.0,0.0,0.0043,0.0
antik,83,0.0,0.0183,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
beitrag,83,0.0,0.0,0.0,0.0001,0.0241,0.0,0.0,0.0001,0.0048,0.0,0.0,0.0,0.0,0.0,0.0
global,80,0.0062,0.0,0.0,0.0001,0.0,0.0,0.0014,0.0001,0.0001,0.0,0.0,0.0002,0.0,0.0147,0.0
zentral,79,0.0,0.0,0.004,0.0001,0.0,0.0102,0.0,0.0001,0.0001,0.0,0.0068,0.0029,0.0002,0.0053,0.0
land,78,0.0,0.0,0.0111,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0058,0.0121,0.0
römisch,76,0.0,0.0165,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
französisch,75,0.0004,0.0,0.0,0.0001,0.0,0.0,0.0207,0.0001,0.0001,0.0268,0.0,0.0002,0.0,0.0,0.0
fremd,75,0.0027,0.0,0.0,0.0001,0.0001,0.0,0.002,0.0064,0.0001,0.0,0.0,0.0091,0.0012,0.0015,0.0032
wandel,75,0.0178,0.0017,0.0,0.0001,0.0,0.0032,0.0,0.0001,0.0001,0.0,0.0018,0.0,0.0,0.0022,0.0003
nehmen,74,0.0,0.0027,0.0,0.0001,0.0009,0.0,0.0,0.0001,0.0001,0.0064,0.0112,0.0,0.0047,0.0,0.0011
individuum,73,0.0126,0.0,0.0,0.0001,0.0077,0.0,0.0,0.0001,0.0001,0.0,0.0041,0.0,0.0,0.0,0.0
menschenrecht,72,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0202,0.0001,0.0,0.0015,0.0108,0.006,0.0,0.0
gegenwart,72,0.0,0.0016,0.0,0.0001,0.0,0.0,0.0,0.0024,0.0001,0.0064,0.0,0.0124,0.0,0.0039,0.0
unterschied,70,0.0062,0.0,0.0355,0.0001,0.0,0.0,0.0,0.0001,0.0021,0.0,0.0,0.0,0.0,0.0,0.0
individuell,70,0.0,0.0,0.0037,0.0001,0.0095,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0054
chance,69,0.0,0.0,0.0,0.0001,0.0,0.0037,0.0027,0.0001,0.0025,0.0,0.0,0.0,0.0,0.0,0.0107
weimarer,68,0.0,0.0,0.0,0.0001,0.0,0.0285,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
wirtschaftlich,66,0.0,0.002,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0128,0.0
deutschland,65,0.0044,0.0008,0.0,0.0001,0.0039,0.0125,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0033,0.0
freiheit,64,0.021,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0038,0.0,0.0,0.0,0.0
globalisierung,64,0.0,0.0,0.0,0.0001,0.0,0.0039,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0091,0.0032
lernbereich,63,0.0,0.0127,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
wissen,62,0.0031,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0149,0.0,0.0,0.0013
inhaltsbezogen,62,0.0,0.0,0.016,0.0001,0.0,0.0,0.0001,0.0001,0.0028,0.0,0.0,0.0,0.0,0.0,0.0052
gestaltung,61,0.0,0.0,0.0,0.0001,0.0084,0.0115,0.0,0.0018,0.0001,0.0,0.0,0.0,0.0,0.0006,0.0008
thema,60,0.0,0.0,0.0,0.0001,0.0033,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0099
fähigkeit,59,0.0,0.0,0.0,0.0001,0.0091,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0044,0.0018
musik,58,0.0,0.0,0.0,0.0001,0.0005,0.0054,0.0274,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
grenze,57,0.0009,0.0,0.0,0.0001,0.0,0.0,0.0,0.0058,0.0001,0.0,0.0006,0.0,0.0,0.0,0.0092
projekt,57,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.011
reich,57,0.0,0.0123,0.0,0.0001,0.0,0.0,0.0007,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
erkenntnis,57,0.0032,0.0,0.0,0.0001,0.007,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0089,0.0,0.0,0.0
