subject_clean,Interessen · Interessen Denkweisen · Denkweisen,Kein Thema (Ausreißer),Kriterien · Politische Wirtschaftliche · Ökologie Reflektierte,Naturwissenschaftliche · Naturwissenschaften · Wissenschaftlichen,Politischen · Wissenschaft · Begründete,Position · Rahmen Diskurse · Diskurse,Setzen · Humane · Fähigkeit Bereitschaft,Sinnvorstellungen · Politischen · Gesellschaftlichen,entropy,subject_total,subject_proportion
Bio,0.0,0.32,0.0,0.24,0.04,0.0,0.28,0.12,2.0872,25,0.0883
"Ethik, Philo",0.2407,0.1481,0.0093,0.037,0.1296,0.4259,0.0093,0.0,2.1105,108,0.3816
Geschichte,0.069,0.1034,0.0,0.1034,0.0345,0.1724,0.5172,0.0,2.04,29,0.1025
Psychologie,0.0714,0.5,0.0714,0.0,0.1429,0.0,0.0714,0.1429,2.118,14,0.0495
Sozialkunde,0.1589,0.2617,0.1308,0.0187,0.0467,0.0187,0.1215,0.243,2.5983,107,0.3781
