topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,61,401,23,4,117,606
2,71,170,147,3,212,603
3,70,109,31,2,128,340
4,16,339,8,0,20,383
5,50,173,62,20,290,595
6,12,56,40,2,226,336
7,147,392,141,5,301,986
