Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
mensch,historisch,handlung,handlung,politisch,wirtschaftlich,fach
verantwortung,beschreiben,sozial,analysieren,ökonomisch,sozial,entwicklung
welt,beurteilen,denken,beschreiben,kompetenz,unternehmen,bildung
freiheit,bewerten,bezug,motiv,entscheidung,beurteilen,ziel
ethik,verschieden,wirtschaftlich,ethisch,gesellschaftlich,wirtschaft,unterricht
leben,nachhaltig,kompetenz,situation,fähigkeit,prozeß,menschlich
natur,geschichte,grundlage,moralisch,entwickeln,analysieren,denken
medium,kriterium,kompetenzerwartunge,relevanz,lernen,akteur,auseinandersetzung
inhaltsfeld,erkennen,digital,reflektieren,treffen,struktur,frage
gerechtigkeit,mensch,inhalt,folge,handlungskompetenz,wirtschaftspolitik,mensch
wert,erläutern,information,kontext,reflektieren,politik,grundlage
sozial,bne,bleiben,frage,erkennen,rolle,leben
menschlich,bedeutung,ethisch,argument,bereich,form,gegenwart
system,entwicklung,prinzip,klassenstuf,sozial,gesellschaft,ermöglichen
funktion,verantwortung,fachübergreifend,relevant,vertreten,gesellschaftlich,gesellschaft
pflicht,beispiel,solidarität,ethik,entwicklung,wandel,beitrag
staatlich,global,fachinterne,wahrnehmen,verantwortlich,bedeutung,rechtlich
thema,handlung,selbstbestimmen,begriff,wirtschaftlich,strukturieren,individuell
medial,bewert,leer,norm,politik,marktwirtschaft,wert
gut,unterschiedlich,prozeß,wertvorstellung,lernende,zusammenleben,lernbereich
