topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,12,0.1946,266,33.5674
2,9,0.148,227,70.1046
3,6,0.0979,140,83.1115
4,10,0.0678,71,74.1518
5,2,0.067,56,35.2697
6,14,0.0566,44,37.2364
7,3,0.0538,53,73.6449
8,13,0.0504,47,79.1159
9,11,0.0499,54,39.3695
10,4,0.0422,38,39.1916
11,8,0.0421,48,54.1333
12,5,0.0381,27,53.9607
13,1,0.0338,32,122.1403
14,15,0.0303,29,42.2241
15,7,0.0275,23,39.5857
