subject,0_angemessen_fhigkeiten_gegenber_knnen,1_lernen_menschen_handelns_beschreiben,2_fhigkeiten_lernen_angemessen_handelns,3_menschen_beschreiben_eigene_knnen,entropy,subject_total,subject_proportion
Bio,0.009,0.0135,0.009,0.9685,0.2506,445,0.3853
"Ethik, Philo",0.0163,0.038,0.0163,0.9293,0.4713,184,0.1593
Geschichte,0.0476,0.1429,0.0476,0.7619,1.1183,63,0.0545
Psychologie,0.0082,0.0,0.0082,0.9836,0.1371,244,0.2113
Sozialkunde,0.032,0.0365,0.032,0.8995,0.6294,219,0.1896
TOTAL,0.0165,0.026,0.0165,0.9411,0.4141,1155,1.0
